label,mode,rep,seed,grid_point_index,grid_point_total,grid_x_root,grid_y_m,grid_yaw_deg,init_x_root_actual,init_y_root_actual,init_yaw_deg_actual,success,ever_inserted,ever_inserted_push_free,ever_hold_entry,ever_clean_insert_ready,ever_dirty_insert,timeout,episode_length,max_pallet_disp_xy,max_hold_counter,min_dist_front,mean_abs_drive_raw,mean_abs_steer_raw,mean_steer_raw,max_abs_steer_raw,mean_steer_applied,mean_abs_steer_applied,max_abs_steer_applied,steer_scale,terminated_early
exp83_stage1_steer075_seed42_iter50_recheck3x3_zero,zero_steer,0,20260327,1,9,-3.4,-0.1,-4.0,-3.4000000953674316,-0.10000000149011612,-3.9999995421277097,0,0,0,0,0,0,1,1079,4.936567306518555,0.0,0.03396570682525635,0.10537412762641907,0.04001973569393158,0.04001973569393158,0.047441598027944565,0.0,0.0,0.0,0.0,0
exp83_stage1_steer075_seed42_iter50_recheck3x3_zero,zero_steer,0,20260327,2,9,-3.4,0.0,-4.0,-3.4000000953674316,0.0,-3.9999995421277097,0,0,0,0,0,0,1,1079,6.223258018493652,0.0,0.030541658401489258,0.10618425160646439,0.04092910885810852,0.04092910885810852,0.047522224485874176,0.0,0.0,0.0,0.0,0
exp83_stage1_steer075_seed42_iter50_recheck3x3_zero,zero_steer,0,20260327,3,9,-3.4,0.1,-4.0,-3.4000000953674316,0.10000000149011612,-3.9999995421277097,1,1,1,1,1,0,0,216,0.036838240921497345,9.0,0.0,0.10753941535949707,0.04030903801321983,0.04030903801321983,0.04153585806488991,0.0,0.0,0.0,0.0,0
exp83_stage1_steer075_seed42_iter50_recheck3x3_zero,zero_steer,0,20260327,4,9,-3.4,-0.1,0.0,-3.4000000953674316,-0.10000000149011612,0.0,1,1,1,1,1,0,0,212,0.007268467452377081,9.0,0.0,0.10943816602230072,0.04268772155046463,0.04268772155046463,0.050626255571842194,0.0,0.0,0.0,0.0,0
exp83_stage1_steer075_seed42_iter50_recheck3x3_zero,zero_steer,0,20260327,5,9,-3.4,0.0,0.0,-3.4000000953674316,0.0,0.0,1,1,1,1,1,0,0,208,5.358306225389242e-05,9.0,0.0,0.1105104386806488,0.04194476827979088,0.04194476827979088,0.043912582099437714,0.0,0.0,0.0,0.0,0
exp83_stage1_steer075_seed42_iter50_recheck3x3_zero,zero_steer,0,20260327,6,9,-3.4,0.1,0.0,-3.4000000953674316,0.10000000149011612,0.0,1,1,0,1,0,1,0,249,0.2516990005970001,9.0,0.0,0.11226464062929153,0.04282117262482643,0.04282117262482643,0.04613761976361275,0.0,0.0,0.0,0.0,0
exp83_stage1_steer075_seed42_iter50_recheck3x3_zero,zero_steer,0,20260327,7,9,-3.4,-0.1,4.0,-3.4000000953674316,-0.10000000149011612,3.9999995421277097,1,1,1,1,1,1,0,212,0.05121362954378128,9.0,0.0,0.11327841877937317,0.04326688498258591,0.04326688498258591,0.05391140282154083,0.0,0.0,0.0,0.0,0
exp83_stage1_steer075_seed42_iter50_recheck3x3_zero,zero_steer,0,20260327,8,9,-3.4,0.0,4.0,-3.4000000953674316,0.0,3.9999995421277097,0,0,0,0,0,0,1,1079,6.157383918762207,0.0,0.0,0.11533285677433014,0.044357385486364365,0.044357385486364365,0.049153950065374374,0.0,0.0,0.0,0.0,0
exp83_stage1_steer075_seed42_iter50_recheck3x3_zero,zero_steer,0,20260327,9,9,-3.4,0.1,4.0,-3.4000000953674316,0.10000000149011612,3.9999995421277097,0,0,0,0,0,0,1,1079,6.406893730163574,0.0,0.013824820518493652,0.11336086690425873,0.04035874083638191,0.04035874083638191,0.043734170496463776,0.0,0.0,0.0,0.0,0
