label,mode,rep,seed,grid_point_index,grid_point_total,grid_x_root,grid_y_m,grid_yaw_deg,init_x_root_actual,init_y_root_actual,init_yaw_deg_actual,success,ever_inserted,ever_inserted_push_free,ever_hold_entry,ever_clean_insert_ready,ever_dirty_insert,timeout,episode_length,max_pallet_disp_xy,max_hold_counter,min_dist_front,mean_abs_drive_raw,mean_abs_steer_raw,mean_steer_raw,max_abs_steer_raw,mean_steer_applied,mean_abs_steer_applied,max_abs_steer_applied,steer_scale,terminated_early
exp83_force_steering_guidance_v3_resume_from_v1_seed42_iter30_recheck3x3_zero,zero_steer,0,20260330,1,9,-3.5,-0.1,-4.0,-3.5,-0.10000000149011612,-3.9999995421277097,0,0,0,0,0,0,1,1079,5.837223052978516,0.0,0.034210801124572754,0.3805956542491913,0.28571364283561707,0.28571364283561707,0.3088468909263611,0.0,0.0,0.0,0.0,0
exp83_force_steering_guidance_v3_resume_from_v1_seed42_iter30_recheck3x3_zero,zero_steer,0,20260330,2,9,-3.5,0.0,-4.0,-3.5,0.0,-3.9999995421277097,0,0,0,0,0,0,1,1079,8.44230842590332,0.0,0.013852119445800781,0.35842165350914,0.25899869203567505,0.25899869203567505,0.3102506399154663,0.0,0.0,0.0,0.0,0
exp83_force_steering_guidance_v3_resume_from_v1_seed42_iter30_recheck3x3_zero,zero_steer,0,20260330,3,9,-3.5,0.1,-4.0,-3.5,0.10000000149011612,-3.9999995421277097,1,1,1,1,1,0,0,181,0.048853855580091476,9.0,0.0,0.3702632188796997,0.2722952365875244,0.2722952365875244,0.2763785719871521,0.0,0.0,0.0,0.0,0
exp83_force_steering_guidance_v3_resume_from_v1_seed42_iter30_recheck3x3_zero,zero_steer,0,20260330,4,9,-3.5,-0.1,0.0,-3.5,-0.10000000149011612,0.0,1,1,1,1,1,0,0,178,0.033957697451114655,9.0,0.0,0.35739338397979736,0.2564430832862854,0.2564430832862854,0.30203044414520264,0.0,0.0,0.0,0.0,0
exp83_force_steering_guidance_v3_resume_from_v1_seed42_iter30_recheck3x3_zero,zero_steer,0,20260330,5,9,-3.5,0.0,0.0,-3.5,0.0,0.0,1,1,1,1,1,0,0,173,0.0002777696354314685,9.0,0.0,0.35428208112716675,0.2516838312149048,0.2516838312149048,0.25292134284973145,0.0,0.0,0.0,0.0,0
exp83_force_steering_guidance_v3_resume_from_v1_seed42_iter30_recheck3x3_zero,zero_steer,0,20260330,6,9,-3.5,0.1,0.0,-3.5,0.10000000149011612,0.0,1,1,0,1,0,1,0,193,0.14623762667179108,9.0,0.0,0.344734787940979,0.23941805958747864,0.23941805958747864,0.2542957067489624,0.0,0.0,0.0,0.0,0
exp83_force_steering_guidance_v3_resume_from_v1_seed42_iter30_recheck3x3_zero,zero_steer,0,20260330,7,9,-3.5,-0.1,4.0,-3.5,-0.10000000149011612,3.9999995421277097,1,1,1,1,1,0,0,177,0.04803348332643509,9.0,0.0,0.3321705460548401,0.22386613488197327,0.22386613488197327,0.2654995918273926,0.0,0.0,0.0,0.0,0
exp83_force_steering_guidance_v3_resume_from_v1_seed42_iter30_recheck3x3_zero,zero_steer,0,20260330,8,9,-3.5,0.0,4.0,-3.5,0.0,3.9999995421277097,0,0,0,0,0,0,1,1079,8.45623779296875,0.0,0.01381981372833252,0.3460972309112549,0.23986245691776276,0.23986245691776276,0.24815315008163452,0.0,0.0,0.0,0.0,0
exp83_force_steering_guidance_v3_resume_from_v1_seed42_iter30_recheck3x3_zero,zero_steer,0,20260330,9,9,-3.5,0.1,4.0,-3.5,0.10000000149011612,3.9999995421277097,0,0,0,0,0,0,1,1079,5.748846530914307,0.0,0.036393165588378906,0.30832812190055847,0.19575156271457672,0.19575156271457672,0.22931385040283203,0.0,0.0,0.0,0.0,0
