mode,step,done,root_x,root_y,root_yaw_deg,fork_center_x,fork_center_y,tip_x,tip_y,raw_drive,raw_steer,applied_drive,applied_steer,drive_target_rad_s,steer_target_rad,left_steer_joint_pos_rad,right_steer_joint_pos_rad,mean_steer_joint_pos_rad,root_y_signed_m,center_y_signed_m,tip_y_signed_m,yaw_err_signed_deg,yaw_err_abs_deg,d_traj_m,d_traj_signed_m,yaw_traj_signed_deg,traj_s_norm,traj_closest_idx,dist_front_m,insert_depth_m,pallet_disp_xy_m,hold_counter,inserted,push_free,hold_entry,clean_insert_ready,dirty_insert,success,policy_vx_r,policy_vy_r,policy_yaw_rate,policy_lift_pos,policy_lift_vel,policy_prev_drive,policy_prev_steer,policy_prev_lift,policy_y_err_obs,policy_yaw_err_obs,policy_d_traj_signed_obs,policy_yaw_traj_err_obs
normal,0,False,-3.5,0.0,0.0,-2.233297824859619,0.0,-1.6332979202270508,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5532978773117065,0.0,0.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,1,False,-3.499817371368408,-6.36521726846695e-05,-0.006085987866355628,-2.2331151962280273,-0.00019820191664621234,-1.633115291595459,-0.0002619342412799597,0.1709941327571869,0.09335574507713318,0.1709941327571869,0.09335574507713318,3.419882655143738,0.056013447046279904,0.01257651299238205,0.012378652580082417,0.012477582320570946,-6.365009176079184e-05,-0.0001981954846996814,-0.0002619257429614663,-0.0060857906813289306,0.006085790693759918,0.00026951293693855405,-0.00019818397413473576,-0.006085987866355628,0.0,0,0.5531152486801147,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,-0.0008435372728854418,0.00025234484928660095,-0.004307173658162355,0.0,1.4874912267259788e-05,0.1709941327571869,0.09335574507713318,0.0,-7.956261106301099e-05,-0.000405719387345016,-0.0005662399344146252,-0.000405732513172552
normal,2,False,-3.4992995262145996,-0.0001483699306845665,-0.014672375252731358,-2.232597589492798,-0.0004727485647890717,-1.63259756565094,-0.0006263973191380501,0.17221730947494507,0.09416857361793518,0.17221730947494507,0.09416857361793518,3.4443461894989014,0.0565011441707611,0.02357153780758381,0.023211808875203133,0.02339167334139347,-0.00014836784976068884,-0.00047274213284254074,-0.0006263888208195567,-0.014672180152112977,0.014672180637717247,0.0008448791340924799,-0.0004727057530544698,-0.014672376920258011,0.0,0,0.5525974035263062,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,-0.00169290357735008,0.0002940092235803604,-0.005022077821195126,0.0,1.3150487575330772e-05,0.17221730947494507,0.09416857361793518,0.0,-0.00018545980856288224,-0.000978145282715559,-0.0013505879323929548,-0.0009781584376469254
normal,3,False,-3.4988036155700684,-0.00019087782129645348,-0.014344409445705048,-2.2321016788482666,-0.0005080057890154421,-1.6321016550064087,-0.0006582200876437128,0.17207947373390198,0.09410115331411362,0.17207947373390198,0.09410115331411362,3.4415894746780396,0.05646069198846817,0.027173198759555817,0.029192106798291206,0.028182651847600937,-0.00019087574037257582,-0.0005079993279650807,-0.0006582115311175585,-0.014344214345086667,0.014344214461743832,0.001299551920965314,-0.0005079598049633205,-0.014344411113231701,0.0,0,0.5521014928817749,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,0.028231225907802582,0.01581682078540325,-0.011901958845555782,2.217781548097264e-05,-0.004315371625125408,0.17207947373390198,0.09410115331411362,0.0,-0.00023859467182774097,-0.0009562809718772769,-0.00145131372846663,-0.0009562940686009824
normal,4,False,-3.497335195541382,-0.00017834967002272606,-0.015387835900763541,-2.23063325881958,-0.0005185457994230092,-1.6306332349777222,-0.0006796868401579559,0.17242279648780823,0.09460203349590302,0.17242279648780823,0.09460203349590302,3.4484559297561646,0.05676122009754181,0.027580639347434044,0.031749118119478226,0.02966487780213356,-0.0001783475890988484,-0.0005185393383726478,-0.0006796782836318016,-0.01538764080014516,0.01538764126598835,0.0027145538479089737,-0.000518498825840652,-0.015387837568290194,0.0,0,0.5506330728530884,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,0.05833055078983307,0.0006185342208482325,-0.0008443649858236313,1.9358758436283097e-06,0.0001594495988683775,0.17242279648780823,0.09460203349590302,0.0,-0.0002229344827355817,-0.001025842735543847,-0.0014814252499490976,-0.0010258557740598917
normal,5,False,-3.4948298931121826,-0.00016680778935551643,-0.017787156625195387,-2.228127956390381,-0.0005600484437309206,-1.628127932548523,-0.0007463151123374701,0.1721785068511963,0.09500040113925934,0.1721785068511963,0.09500040113925934,3.443570137023926,0.0570002406835556,0.0276617631316185,0.0361948199570179,0.03192829340696335,-0.00016667559975758195,-0.0005599717260338366,-0.000746264704503119,-0.017789667920334557,0.01778966747224331,0.005200114566832781,-0.0005599977448582649,-0.017787158292722042,0.0,0,0.5481278896331787,0.0,3.641417123390056e-08,0.0,False,True,False,False,False,False,0.0883878692984581,0.0012988786911591887,-0.0009688825812190771,3.0708588383276947e-06,-0.0010983989341184497,0.1721785068511963,0.09500040113925934,0.0,-0.00020834449969697744,-0.0011859778314828873,-0.0015999935567378998,-0.001185810542665422
normal,6,False,-3.491354465484619,-0.0001524309627711773,-0.021132338487754997,-2.2246525287628174,-0.0006196273025125265,-1.6246525049209595,-0.0008409246220253408,0.17210456728935242,0.09514197707176208,0.17210456728935242,0.09514197707176208,3.4420913457870483,0.05708518624305725,0.02770226262509823,0.04053432121872902,0.03411829099059105,-0.0001521353842690587,-0.0006194250308908522,-0.0008407665300182998,-0.021136558997713325,0.021136559545993805,0.002482314594089985,-0.0006195620517246425,-0.021132338487754997,0.009580372832715511,1,0.5446527004241943,0.0,2.709583668547566e-07,0.0,False,True,False,False,False,False,0.11645815521478653,0.0009302388643845916,-0.0018288494320586324,2.4741743800404947e-06,-0.0026998005341738462,0.17210456728935242,0.09514197707176208,0.0,-0.00019016923033632338,-0.0014091039774939418,-0.0017701773904263973,-0.001408822601661086
normal,7,False,-3.4870247840881348,-0.0001341942697763443,-0.02527076444659494,-2.220322847366333,-0.0006928833900019526,-1.6203229427337646,-0.0009575182339176536,0.17210960388183594,0.09520383924245834,0.17210960388183594,0.09520383924245834,3.4421920776367188,0.057122303545475005,0.027764135971665382,0.0447002612054348,0.036232199519872665,-0.00013403725461103022,-0.0006927535287104547,-0.0009574012365192175,-0.02527199508126473,0.02527199499309063,0.0020467909052968025,-0.0006928103975951672,-0.02527076611412159,0.009580372832715511,1,0.5403231382369995,0.0,2.522081388178776e-07,0.0,False,True,False,False,False,False,0.13996778428554535,0.0009296568459831178,-0.003020090516656637,1.4700664223710191e-06,-0.0032197607215493917,0.17210960388183594,0.09520383924245834,0.0,-0.00016754656098783016,-0.0016847996739670634,-0.0019794583786278963,-0.0016847177175804973
normal,8,False,-3.4820127487182617,-0.00011436175554990768,-0.03005168175466565,-2.21531081199646,-0.0007787480135448277,-1.6153109073638916,-0.0010934484889730811,0.1718507707118988,0.09529440104961395,0.1718507707118988,0.09529440104961395,3.437015414237976,0.05717664062976837,0.027809560298919678,0.04832896590232849,0.038069263100624084,-0.00011416085180826485,-0.0007785937050357461,-0.0010933162411674857,-0.03005378950835483,0.030053790658712387,0.002675503259524703,-0.0007786533678881824,-0.03005168175466565,0.017815569415688515,2,0.5353111028671265,0.0,2.779334522529098e-07,0.0,False,True,False,False,False,False,0.1589125692844391,0.001220340607687831,-0.0033709637355059385,8.702625109435758e-07,-0.0018207957036793232,0.1718507707118988,0.09529440104961395,0.0,-0.00014270105748437345,-0.002003585919737816,-0.002224724041298032,-0.0020034455228596926
normal,9,False,-3.4764609336853027,-9.193923324346542e-05,-0.03541713218809454,-2.20975923538208,-0.0008749454282224178,-1.6097592115402222,-0.0012458327692002058,0.17149078845977783,0.09527109563350677,0.17149078845977783,0.09527109563350677,3.4298157691955566,0.057162657380104065,0.0278874933719635,0.05119044706225395,0.039538972079753876,-9.183748625218868e-05,-0.0008748527034185827,-0.0012457442935556173,-0.035417539064597825,0.03541753813624382,0.003117223735898733,-0.0008748390828259289,-0.03541713218809454,0.017815569415688515,2,0.529759407043457,0.0,2.505702525468223e-07,0.0,False,True,False,False,False,False,0.17349062860012054,0.0013271198840811849,-0.004015776328742504,9.14394149731379e-07,-0.0020812673028558493,0.17149078845977783,0.09527109563350677,0.0,-0.00011479685781523585,-0.0023611693177372217,-0.002499540336430073,-0.002361142076551914
