mode,step,done,root_x,root_y,root_yaw_deg,fork_center_x,fork_center_y,tip_x,tip_y,raw_drive,raw_steer,applied_drive,applied_steer,drive_target_rad_s,steer_target_rad,left_steer_joint_pos_rad,right_steer_joint_pos_rad,mean_steer_joint_pos_rad,root_y_signed_m,center_y_signed_m,tip_y_signed_m,yaw_err_signed_deg,yaw_err_abs_deg,d_traj_m,d_traj_signed_m,yaw_traj_signed_deg,traj_s_norm,traj_closest_idx,dist_front_m,insert_depth_m,pallet_disp_xy_m,hold_counter,inserted,push_free,hold_entry,clean_insert_ready,dirty_insert,success,policy_vx_r,policy_vy_r,policy_yaw_rate,policy_lift_pos,policy_lift_vel,policy_prev_drive,policy_prev_steer,policy_prev_lift
normal,0,False,-3.5,0.0,0.0,-2.233297824859619,0.0,-1.6332979202270508,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5532978773117065,0.0,0.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,1,False,-3.499765634536743,0.00030781514942646027,0.029408886915584062,-2.2330636978149414,0.0009579904144629836,-1.633063793182373,0.001265959581360221,0.3701314628124237,-0.5547486543655396,0.3701314628124237,-0.5547486543655396,7.402629256248474,-0.3328491926193237,-0.05973425880074501,-0.06024395674467087,-0.05998910963535309,0.0003078172157984227,0.000957996875513345,0.0012659680796787143,0.029409083683729097,0.02940908446907997,0.0009861851576715708,0.0009579036850482225,0.029408886915584062,0.0,0,0.5530637502670288,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,-0.0009943655459210277,-0.0014239923330023885,0.02440079301595688,1.0584679799308105e-08,1.260061253560707e-06,0.3701314628124237,-0.5547486543655396,0.0
normal,2,False,-3.4991331100463867,0.0007912064902484417,0.07867461451206291,-2.2324323654174805,0.0025305538438260555,-1.6324328184127808,0.0033544322941452265,0.3551903963088989,-0.5366636514663696,0.3551903963088989,-0.5366636514663696,7.1038079261779785,-0.3219981908798218,-0.12203659862279892,-0.12268755584955215,-0.12236207723617554,0.0007912085857242346,0.002530560363084078,0.0033544409088790417,0.07867481461526125,0.07867481559515,0.00267445738427341,0.0025303247384727,0.07867461451206291,0.0,0,0.552432656288147,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,-0.00201230077072978,-0.0017182575538754463,0.029515020549297333,1.2386119685459107e-08,1.3000895705772564e-05,0.3551903963088989,-0.5366636514663696,0.0
normal,3,False,-3.4986908435821533,0.0009014145471155643,0.09621039816445001,-2.2319905757904053,0.0030284447129815817,-1.6319913864135742,0.004035957157611847,0.3555769622325897,-0.5373014211654663,0.3555769622325897,-0.5373014211654663,7.111539244651794,-0.3223808526992798,-0.14832621812820435,-0.13907773792743683,-0.14370197057724,0.0009014166425913572,0.003028451232239604,0.0040359655395150185,0.09621059826764836,0.09621059894561768,0.0032985417637974024,0.0030281704384833574,0.09621039816445001,0.0,0,0.55199134349823,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,0.025841644033789635,0.004940918181091547,0.002249310724437237,6.199394647410372e-06,0.0007635569199919701,0.3555769622325897,-0.5373014211654663,0.0
normal,4,False,-3.497302293777466,0.000881862360984087,0.10137738291071177,-2.230602264404297,0.003123124595731497,-1.6306030750274658,0.004184745717793703,0.356083482503891,-0.5379531383514404,0.356083482503891,-0.5379531383514404,7.12166965007782,-0.32277188301086424,-0.1697416603565216,-0.15350042283535004,-0.16162103414535522,0.0008818644564598799,0.003123131114989519,0.004184754099696875,0.1013775830139101,0.10137758404016495,0.004125524777919054,0.003122841939330101,0.10137738291071177,0.0,0,0.5506030321121216,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,0.05934268608689308,0.0031682003755122423,0.007398420013487339,0.0,-0.0019756273832172155,0.356083482503891,-0.5379531383514404,0.0
normal,5,False,-3.4946274757385254,0.0008619888685643673,0.1170304756111951,-2.2279281616210938,0.003449311014264822,-1.6279293298721313,0.0046748504973948,0.35724684596061707,-0.5390411615371704,0.35724684596061707,-0.5390411615371704,7.144936919212341,-0.32342469692230225,-0.19450592994689941,-0.1714598536491394,-0.1829828917980194,0.0008621210581623018,0.003449387615546584,0.004674900788813829,0.11702796765110923,0.11702796816825867,0.006382086779922247,0.003448998788371682,0.1170304756111951,0.0,0,0.5479292869567871,0.0,3.641417123390056e-08,0.0,False,True,False,False,False,False,0.08524575084447861,-0.006620937958359718,0.009914941154420376,1.6156129277078435e-05,0.0001731996308080852,0.35724684596061707,-0.5390411615371704,0.0
normal,6,False,-3.4914984703063965,0.0007809547241777182,0.13695002863444972,-2.2248001098632812,0.0038086597342044115,-1.624801754951477,0.005242795683443546,0.3578868806362152,-0.539685845375061,0.3578868806362152,-0.539685845375061,7.157737612724304,-0.3238115072250366,-0.2087952196598053,-0.18470239639282227,-0.19674880802631378,0.0007812503026798368,0.0038088620640337467,0.005242954008281231,0.1369457997868581,0.13694579899311066,0.004584223963320255,0.003808258567005396,0.13695001529423648,0.009580372832715511,1,0.5448019504547119,0.0,2.709583668547566e-07,0.0,False,True,False,False,False,False,0.1207301989197731,-0.028865408152341843,0.02615421824157238,1.5081805031513795e-05,0.004775627516210079,0.3578868806362152,-0.539685845375061,0.0
normal,7,False,-3.486954927444458,0.0005869853775948286,0.1794533753647267,-2.220259189605713,0.004554356448352337,-1.6202620267868042,0.006433584727346897,0.35834744572639465,-0.5404421091079712,0.35834744572639465,-0.5404421091079712,7.166948914527893,-0.3242652654647827,-0.22363607585430145,-0.20009632408618927,-0.21186619997024536,0.0005871424218639731,0.004554486367851496,0.006433702073991299,0.1794521480651102,0.17945215106010437,0.004969978239387274,0.00455387681722641,0.1794533753647267,0.009580372832715511,1,0.5402622222900391,0.0,2.522081388178776e-07,0.0,False,True,False,False,False,False,0.1343076527118683,-0.012929913587868214,0.016441797837615013,8.432702088612132e-06,-1.1848751455545425e-06,0.35834744572639465,-0.5404421091079712,0.0
normal,8,False,-3.4818007946014404,0.00042297225445508957,0.21834363206534627,-2.2151079177856445,0.005250127986073494,-1.6151123046875,0.007536611519753933,0.3585582971572876,-0.5406692028045654,0.3585582971572876,-0.5406692028045654,7.171165943145752,-0.3244015216827392,-0.2287028729915619,-0.21446003019809723,-0.22158145904541016,0.0004231731581967324,0.005250282119959593,0.007536743767559528,0.2183415243116571,0.21834152936935425,0.0057548414915800095,0.005249490030109882,0.21834363206534627,0.017815569415688515,2,0.5351125001907349,0.0,2.779334522529098e-07,0.0,False,True,False,False,False,False,0.1675397902727127,-0.02037946693599224,0.022073734551668167,5.9816702560056e-06,-0.0005840994999743998,0.3585582971572876,-0.5406692028045654,0.0
normal,9,False,-3.475990056991577,0.00022567622363567352,0.2662145203074748,-2.209301710128784,0.006111158058047295,-1.609308123588562,0.008898939937353134,0.3592781126499176,-0.5414716005325317,0.3592781126499176,-0.5414716005325317,7.185562252998352,-0.324882960319519,-0.23892742395401,-0.21763326227664948,-0.22828033566474915,0.00022577797062695026,0.006111251190304756,0.008899028412997723,0.2662141201010781,0.26621413230895996,0.007017470430582762,0.006110415328294039,0.2662145203074748,0.017815569415688515,2,0.5293083190917969,0.0,2.505702525468223e-07,0.0,False,True,False,False,False,False,0.1793455332517624,-0.025779390707612038,0.026155881583690643,0.0,1.9490369595587254e-05,0.3592781126499176,-0.5414716005325317,0.0
