mode,step,done,root_x,root_y,root_yaw_deg,fork_center_x,fork_center_y,tip_x,tip_y,raw_drive,raw_steer,applied_drive,applied_steer,drive_target_rad_s,steer_target_rad,left_steer_joint_pos_rad,right_steer_joint_pos_rad,mean_steer_joint_pos_rad,root_y_signed_m,center_y_signed_m,tip_y_signed_m,yaw_err_signed_deg,yaw_err_abs_deg,d_traj_m,d_traj_signed_m,yaw_traj_signed_deg,traj_s_norm,traj_closest_idx,dist_front_m,insert_depth_m,pallet_disp_xy_m,hold_counter,inserted,push_free,hold_entry,clean_insert_ready,dirty_insert,success,policy_vx_r,policy_vy_r,policy_yaw_rate,policy_lift_pos,policy_lift_vel,policy_prev_drive,policy_prev_steer,policy_prev_lift,policy_y_err_obs,policy_yaw_err_obs,policy_d_traj_signed_obs,policy_yaw_traj_err_obs
zero_steer,0,False,-3.5,0.0,0.0,-2.233297824859619,0.0,-1.6332979202270508,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5532978773117065,0.0,0.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero_steer,1,False,-3.499817371368408,-7.627531886100769e-07,-9.803916156495213e-05,-2.2331151962280273,-2.9302148050192045e-06,-1.633115291595459,-3.956878572353162e-06,0.171059712767601,0.09285933524370193,0.171059712767601,0.0,3.4211942553520203,0.0,9.894980030367151e-05,-9.847238834481686e-05,2.3870597942732275e-07,-9.78372440840758e-07,-3.1414754175784765e-06,-4.166074631939409e-06,-9.78420091071343e-05,9.784200665308163e-05,0.0001826521329348907,-2.9299494599399623e-06,-9.803916156495213e-05,0.0,0,0.5531150102615356,0.0,2.709572584080888e-07,0.0,False,True,False,False,False,False,-0.0008423427352681756,5.6568173931736965e-06,-9.626597602618858e-05,0.0,1.4757379176444374e-05,0.171059712767601,0.0,0.0,-1.2229655794726568e-06,-6.522800504171755e-06,-8.371284820896108e-06,-6.535944066854427e-06
zero_steer,2,False,-3.4992995262145996,-3.066379576921463e-06,-0.0003762665242339029,-2.2325973510742188,-1.1384924619051162e-05,-1.6325974464416504,-1.5325178537750617e-05,0.1706489622592926,0.09542067348957062,0.1706489622592926,0.0,3.412979245185852,0.0,0.00017987331375479698,-0.00017808936536312103,8.919741958379745e-07,-3.4996928661712445e-06,-1.1813879609690048e-05,-1.5752068065921776e-05,-0.00037606936526230915,0.0003760693653021008,0.0007005662773735821,-1.1383894161554053e-05,-0.0003762665242339029,0.0,0,0.552597165107727,0.0,5.160313776286785e-07,0.0,False,True,False,False,False,False,-0.0016865747747942805,1.1174167411809321e-05,-0.0001899589697131887,0.0,1.4401248336071149e-05,0.1706489622592926,0.0,0.0,-4.37461585534038e-06,-2.5071291020140052e-05,-3.252541137044318e-05,-2.5084435037570074e-05
zero_steer,3,False,-3.4987406730651855,-4.122965037822723e-06,-0.000470401452233609,-2.2320384979248047,-1.452265860280022e-05,-1.6320385932922363,-1.9448691091383807e-05,0.1710684597492218,0.09527207911014557,0.1710684597492218,0.0,3.421369194984436,0.0,-0.0005221529863774776,-0.00014269202074501663,-0.0003324224962852895,-4.773972705152119e-06,-1.5169307516771369e-05,-2.009327545238193e-05,-0.0004702043193171192,0.0004702043370343745,0.0012594106374308467,-1.4521343473461457e-05,-0.000470401452233609,0.0,0,0.5520380735397339,0.0,7.63127616210113e-07,0.0,False,True,False,False,False,False,0.02989926002919674,0.00014526738959830254,-0.00015742657706141472,9.54424535848375e-07,0.00017727114027366042,0.1710684597492218,0.0,0.0,-5.9674657677533105e-06,-3.134695361950435e-05,-4.148955486016348e-05,-3.136009763693437e-05
zero_steer,4,False,-3.4971530437469482,-6.154179573059082e-06,-0.0005262083061730033,-2.2304511070251465,-1.7787657270673662e-05,-1.630450963973999,-2.329809831280727e-05,0.17120099067687988,0.09538431465625763,0.17120099067687988,0.0,3.4240198135375977,0.0,-0.0005941434064880013,1.4828608073003124e-05,-0.00028965738601982594,-7.022877525741933e-06,-1.8651995560503565e-05,-2.4160372049664147e-05,-0.0005260111732565135,0.000526011164765805,0.0028467734809964895,-1.7786047465051524e-05,-0.0005262083061730033,0.0,0,0.5504504442214966,0.0,1.010763980957563e-06,0.0,False,True,False,False,False,False,0.0632452517747879,-6.406440661521628e-05,-3.391818609088659e-05,0.0,-4.5637687435373664e-05,0.17120099067687988,0.0,0.0,-8.778596566116903e-06,-3.5067412682110444e-05,-5.0817277951864526e-05,-3.508055306156166e-05
zero_steer,5,False,-3.4944727420806885,-5.723908543586731e-06,-0.00047937717499353373,-2.2277708053588867,-1.6322039300575852e-05,-1.6277706623077393,-2.1342064428608865e-05,0.17125849425792694,0.09604787081480026,0.17125849425792694,0.0,3.425169885158539,0.0,-0.0007094934117048979,8.970709131972399e-06,-0.00035026133991777897,-6.810293598391581e-06,-1.7404065147275105e-05,-2.2422025722335093e-05,-0.00047918004207704384,0.0004791800456587225,0.005522036924958229,-1.63203203555895e-05,-0.00047937717499353373,0.009580372832715511,1,0.5477699041366577,0.0,1.2586218645083136e-06,0.0,False,True,False,False,False,False,0.09466993808746338,-9.81689736363478e-05,5.3410058171721175e-05,0.0,-0.00017271640535909683,0.17125849425792694,0.0,0.0,-8.512866770615801e-06,-3.1945335649652407e-05,-4.6629487769678235e-05,-3.195847966708243e-05
zero_steer,6,False,-3.490769863128662,-6.84056431055069e-06,-0.00041349556795447663,-2.2240676879882812,-1.5982175682438537e-05,-1.624067783355713,-2.031229087151587e-05,0.17087730765342712,0.09585815668106079,0.17087730765342712,0.0,3.4175461530685425,0.0,-0.0008726000669412315,0.00013132022286299616,-0.0003706399293150753,-7.316546088986797e-06,-1.6749279893701896e-05,-2.1217290850472637e-05,-0.00042666368721556443,0.0004266636969987303,0.001818965538404882,-1.5980493117240258e-05,-0.00041349556795447663,0.009580372832715511,1,0.5440675020217896,0.0,1.2907012205687352e-06,0.0,False,True,False,False,False,False,0.1245609000325203,0.00014661185559816658,0.0002916001249104738,0.0,-0.000725431484170258,0.17087730765342712,0.0,0.0,-9.145682270172983e-06,-2.8444244890124537e-05,-4.5658551243832335e-05,-2.756637150014285e-05
zero_steer,7,False,-3.4861769676208496,-8.048955351114273e-06,-0.0002833205948478762,-2.2194747924804688,-1.4312641724245623e-05,-1.6194748878479004,-1.7279568055528216e-05,0.17091336846351624,0.09642495214939117,0.17091336846351624,0.0,3.4182673692703247,0.0,-0.0008835797780193388,0.00031097064493224025,-0.0002863045665435493,-7.253246167238103e-06,-1.441357653675368e-05,-1.7805217794375494e-05,-0.00032387781332667725,0.0003238778153900057,0.0027740371879190207,-1.4311134691524785e-05,-0.0002833205948478762,0.009580372832715511,1,0.5394755601882935,0.0,1.8304956483916612e-06,0.0,False,True,False,False,False,False,0.14905127882957458,0.0001680817804299295,-0.00017620701692067087,2.1260481375406926e-08,-0.0002077750104945153,0.17091336846351624,0.0,0.0,-9.066558050108142e-06,-2.1591853510471992e-05,-4.08889573009219e-05,-1.88880403584335e-05
zero_steer,8,False,-3.480879068374634,-8.331146091222763e-06,-0.00023250420524365033,-2.214177131652832,-1.3471378224494401e-05,-1.6141769886016846,-1.590615647728555e-05,0.1707204133272171,0.09669353067874908,0.1707204133272171,0.0,3.414408266544342,0.0,-0.001238129218108952,0.0004515180771704763,-0.00039330555591732264,-7.131068286980735e-06,-1.3374573427427094e-05,-1.6331941878888756e-05,-0.00028240772822586474,0.0002824077382683754,0.0014260450843721628,-1.346974113403121e-05,-0.00023250420524365033,0.017815569415688515,2,0.5341777801513672,0.0,2.0006530121463584e-06,0.0,False,True,False,False,False,False,0.16817013919353485,-0.00073456164682284,0.0005012916517443955,1.1781568787228025e-07,0.00026821106439456344,0.1707204133272171,0.0,0.0,-8.913835699786432e-06,-1.8827182429959066e-05,-3.848497726721689e-05,-1.550027991470415e-05
zero_steer,9,False,-3.4750277996063232,-8.993316441774368e-06,-0.0001417081867049992,-2.2083258628845215,-1.2126218280172907e-05,-1.608325719833374,-1.361018257739488e-05,0.17063255608081818,0.09653881937265396,0.17063255608081818,0.0,3.4126511216163635,0.0,-0.0015515467384830117,0.0006487060454674065,-0.0004514203465078026,-7.367794296442298e-06,-1.177945432573324e-05,-1.3869131180399563e-05,-0.00019954931894043654,0.0001995493221329525,0.003802795661613345,-1.2124543900426943e-05,-0.0001417081867049992,0.024949943646788597,3,0.5283266305923462,0.0,2.123992089764215e-06,0.0,False,True,False,False,False,False,0.18325696885585785,0.0001330493250861764,-0.00022289148182608187,1.6130033486660977e-07,-0.0002018623345065862,0.17063255608081818,0.0,0.0,-9.20974252949236e-06,-1.3303288142196834e-05,-3.4641554520931095e-05,-9.447212505619973e-06
