mode,step,done,root_x,root_y,root_yaw_deg,fork_center_x,fork_center_y,tip_x,tip_y,raw_drive,raw_steer,applied_drive,applied_steer,drive_target_rad_s,steer_target_rad,left_steer_joint_pos_rad,right_steer_joint_pos_rad,mean_steer_joint_pos_rad,root_y_signed_m,center_y_signed_m,tip_y_signed_m,yaw_err_signed_deg,yaw_err_abs_deg,d_traj_m,d_traj_signed_m,yaw_traj_signed_deg,traj_s_norm,traj_closest_idx,dist_front_m,insert_depth_m,pallet_disp_xy_m,hold_counter,inserted,push_free,hold_entry,clean_insert_ready,dirty_insert,success,policy_vx_r,policy_vy_r,policy_yaw_rate,policy_lift_pos,policy_lift_vel,policy_prev_drive,policy_prev_steer,policy_prev_lift
zero_steer,0,False,-3.5,0.0,0.0,-2.233297824859619,0.0,-1.6332979202270508,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5532978773117065,0.0,0.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero_steer,1,False,-3.4997715950012207,-9.406358003616333e-07,-0.00012278215002187957,-2.23306941986084,-3.6551182347466238e-06,-1.6330695152282715,-4.94088999403175e-06,0.36905983090400696,-0.5543234348297119,0.36905983090400696,0.0,7.381196618080139,0.0,0.00012172054994152859,-0.00012173739378340542,-8.421920938417315e-09,1.345421082987741e-06,-1.3647027117258403e-06,-2.6484099180379417e-06,-0.00012258500407783774,0.0001225849991897121,0.00022843423357699066,-3.654787406048854e-06,-0.00012278215002187957,0.0,0,0.5530694723129272,0.0,2.2988722321315436e-06,0.0,False,True,False,False,False,False,-0.0010068188421428204,6.732896508765407e-06,-0.00011456458742031828,0.0,9.37852655624738e-06,0.36905983090400696,0.0,0.0
zero_steer,2,False,-3.4991402626037598,-3.7671998143196106e-06,-0.0004628397920752886,-2.232438087463379,-1.3999718248669524e-05,-1.6324381828308105,-1.884656558104325e-05,0.370365709066391,-0.5560035705566406,0.370365709066391,0.0,7.40731418132782,0.0,0.00022121320944279432,-0.00022003969934303313,5.86755049880594e-07,8.028387128433678e-07,-9.425320968148299e-06,-1.4270103747549001e-05,-0.0004626426591587987,0.0004626426671165973,0.0008598513668403029,-1.3998450413055252e-05,-0.0004628397920752886,0.0,0,0.5524383783340454,0.0,4.5855667849536985e-06,0.0,False,True,False,False,False,False,-0.0020254577975720167,1.3389993910095654e-05,-0.00022762584558222443,0.0,7.703152732574381e-06,0.370365709066391,0.0,0.0
zero_steer,3,False,-3.4986960887908936,-5.016569048166275e-06,-0.0005706947906581709,-2.231994152069092,-1.7633557945373468e-05,-1.6319940090179443,-2.3609860363649204e-05,0.37057140469551086,-0.5561823844909668,0.37057140469551086,0.0,7.411428093910217,0.0,0.0002922046696767211,-0.0003062265459448099,-7.010938134044409e-06,1.837450440689281e-06,-1.0775179362099152e-05,-1.6749416317907162e-05,-0.000570497657741681,0.0005704976501874626,0.0013037919998168945,-1.7631960872677155e-05,-0.0005706947906581709,0.0,0,0.5519942045211792,0.0,6.8725234996236395e-06,0.0,False,True,False,False,False,False,0.03371664136648178,8.21271023596637e-05,-1.6565483747399412e-05,0.0,-5.8550074754748493e-05,0.37057140469551086,0.0,0.0
zero_steer,4,False,-3.496882438659668,-5.274079740047455e-06,-0.0006084385790123916,-2.230180263519287,-1.8725513655226678e-05,-1.6301803588867188,-2.50970679189777e-05,0.37125131487846375,-0.5570405721664429,0.37125131487846375,0.0,7.425026297569275,0.0,0.0002644490741658956,-0.00027861061971634626,-7.080772775225341e-06,3.863926394842565e-06,-9.583149221725762e-06,-1.595263893250376e-05,-0.0006082414460959018,0.0006082414765842259,0.0031176176853477955,-1.8723818357102573e-05,-0.0006084385790123916,0.0,0,0.5501807928085327,0.0,9.15954660740681e-06,0.0,False,True,False,False,False,False,0.07028055191040039,-7.407461816910654e-05,-9.761377441463992e-05,2.127468157198109e-08,0.00031886243959888816,0.37125131487846375,0.0,0.0
zero_steer,5,False,-3.4938549995422363,-4.598870873451233e-06,-0.0005923990049102257,-2.2271528244018555,-1.7695700080366805e-05,-1.627152919769287,-2.3899288862594403e-05,0.37177494168281555,-0.5576530694961548,0.37177494168281555,0.0,7.435498833656311,0.0,0.0002475491783116013,-0.0002559711574576795,-4.2109895730391145e-06,6.823127023380948e-06,-6.269343430176377e-06,-1.2470867659430951e-05,-0.0005922018719937359,0.0005922018899582326,0.004904063884168863,-1.769383561622817e-05,-0.0005923990049102257,0.009580372832715511,1,0.5471533536911011,0.0,1.1446596545283683e-05,0.0,False,True,False,False,False,False,0.10658935457468033,0.0001724727771943435,-0.00027535323170013726,0.0,0.0005890949396416545,0.37177494168281555,0.0,0.0
zero_steer,6,False,-3.489659309387207,-4.71062958240509e-06,-0.0005703543025597451,-2.222957134246826,-1.732009150146041e-05,-1.6229572296142578,-2.3292828700505197e-05,0.37292492389678955,-0.558740496635437,0.37292492389678955,0.0,7.458498477935791,0.0,0.0002280536136822775,-0.00024421163834631443,-8.079012332018465e-06,6.084836968511809e-06,-6.338515049719717e-06,-1.2223097655805759e-05,-0.0005619361069141543,0.0005619361181743443,0.0007085532997734845,-1.7318267055088654e-05,-0.0005703543025597451,0.009580372832715511,1,0.5429576635360718,0.0,1.1319528312014882e-05,0.0,False,True,False,False,False,False,0.14000841975212097,-3.864350219373591e-05,-0.0001372155820718035,1.8025711767677421e-07,-9.273058822145686e-05,0.37292492389678955,0.0,0.0
zero_steer,7,False,-3.484480142593384,-4.430301487445831e-06,-0.0006087778164658278,-2.217778205871582,-1.7889235095935874e-05,-1.6177780628204346,-2.426434184599202e-05,0.3734332323074341,-0.5593967437744141,0.3734332323074341,0.0,7.468664646148682,0.0,0.00017157041293103248,-0.00020802186918444932,-1.8225728126708418e-05,6.428304004657548e-06,-6.8678532443300355e-06,-1.3165857126296032e-05,-0.0006014150609710659,0.0006014150567352772,0.004470622632652521,-1.78873506229138e-05,-0.0006087778164658278,0.009580372832715511,1,0.537778377532959,0.0,1.131301269197138e-05,0.0,False,True,False,False,False,False,0.1674521118402481,0.00013094767928123474,-0.0001999781816266477,1.0937861816273653e-07,-0.0001446479291189462,0.3734332323074341,0.0,0.0
zero_steer,8,False,-3.4785029888153076,-4.015862941741943e-06,-0.0006344659603323374,-2.211801052093506,-1.804271414584946e-05,-1.6118009090423584,-2.4686825781827793e-05,0.37381482124328613,-0.5597957372665405,0.37381482124328613,0.0,7.476296424865723,0.0,0.00014269335952121764,-0.00014086649753153324,9.134309948422015e-07,6.4633882175257895e-06,-7.240293143695453e-06,-1.3731329090660438e-05,-0.0006198482653629609,0.000619848258793354,0.0009502693428657949,-1.8040520444628783e-05,-0.0006344659603323374,0.017815569415688515,2,0.5318013429641724,0.0,1.1377996088413056e-05,0.0,False,True,False,False,False,False,0.18947161734104156,0.0003548577369656414,-0.0004369144153315574,5.166010907942109e-08,-0.00014377811749000102,0.37381482124328613,0.0,0.0
zero_steer,9,False,-3.4718878269195557,-4.046130925416946e-06,-0.0006497889669656553,-2.205185890197754,-1.841174525907263e-05,-1.6051857471466064,-2.5216319045284763e-05,0.3742069900035858,-0.5602480173110962,0.3742069900035858,0.0,7.484139800071716,0.0,0.00010092042793985456,-7.466539682354778e-05,1.3127515558153391e-05,6.3921734181349166e-06,-7.64080868975725e-06,-1.4287824342318345e-05,-0.0006347432387485792,0.0006347432499751449,0.0006630592979490757,-1.8409204130875878e-05,-0.0006497889669656553,0.024949943646788597,3,0.5251861810684204,0.0,1.1360023563611321e-05,0.0,False,True,False,False,False,False,0.20710180699825287,0.00017261710308957845,-0.00028680235845968127,4.9617558062209355e-08,-4.807161167263985e-05,0.3742069900035858,0.0,0.0
