mode,step,done,root_x,root_y,root_yaw_deg,fork_center_x,fork_center_y,tip_x,tip_y,raw_drive,raw_steer,applied_drive,applied_steer,drive_target_rad_s,steer_target_rad,left_steer_joint_pos_rad,right_steer_joint_pos_rad,mean_steer_joint_pos_rad,root_y_signed_m,center_y_signed_m,tip_y_signed_m,yaw_err_signed_deg,yaw_err_abs_deg,d_traj_m,d_traj_signed_m,yaw_traj_signed_deg,traj_s_norm,traj_closest_idx,dist_front_m,insert_depth_m,pallet_disp_xy_m,hold_counter,inserted,push_free,hold_entry,clean_insert_ready,dirty_insert,success,policy_vx_r,policy_vy_r,policy_yaw_rate,policy_lift_pos,policy_lift_vel,policy_prev_drive,policy_prev_steer,policy_prev_lift,policy_y_err_obs,policy_yaw_err_obs,policy_d_traj_signed_obs,policy_yaw_traj_err_obs,steer_target_cmd,steer_target_abs,steer_guidance_gate,steer_enforce_gate,steer_penalty_gate,steer_match,steer_wrong_sign,steer_shortfall
normal,0,False,-3.5,-0.10000000149011612,3.9999995421277097,-2.2363834381103516,-0.011639337986707687,-1.6378450393676758,0.030214540660381317,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,-0.10000000149011612,-0.011639337986707687,0.030214540660381317,3.999999115240887,3.9999990463256836,0.0,0.0,-0.6593821402439468,0.0,0,0.5578449964523315,0.0,0.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,0.26666659116744995,0.0,-0.04395880922675133,0.10246312618255615,0.10246312618255615,0.05522434413433075,0.0,0.0,0.8975368738174438,False,0.10246312618255615
normal,1,False,-3.4997637271881104,-0.10013671964406967,3.9852979868260805,-2.2361247539520264,-0.012100297957658768,-1.6375755071640015,0.029600001871585846,0.32822757959365845,0.2209405153989792,0.32822757959365845,0.2209405153989792,6.564551591873169,0.1325643092393875,0.029001086950302124,0.028757767751812935,0.028879426419734955,-0.10013671964406967,-0.012100291438400745,0.029600011184811592,3.9852979868260805,3.985297918319702,0.0005285845254547894,-0.0004804080235771835,-0.6740837489064291,0.0,0,0.5575753450393677,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,-0.0010016008745878935,0.0006133565912023187,-0.010486179031431675,0.0,2.3885948394308798e-05,0.32822757959365845,0.2209405153989792,0.0,-0.12517090141773224,0.2656865417957306,-0.0013725943863391876,-0.044938914477825165,0.1012432798743248,0.1012432798743248,0.0539402961730957,0.0,0.0,0.8803027868270874,False,0.0
normal,2,False,-3.4991183280944824,-0.10032069683074951,3.96180939315723,-2.235443353652954,-0.012802310287952423,-1.6368770599365234,0.028652608394622803,0.35752496123313904,0.25561952590942383,0.35752496123313904,0.25561952590942383,7.150499224662781,0.1533717155456543,0.05868344008922577,0.058238185942173004,0.05846081301569939,-0.10032069683074951,-0.0128023037686944,0.02865261770784855,3.96180939315723,3.9618093967437744,0.0014954140642657876,-0.0012353858910501003,-0.6975723425752798,0.0,0,0.5568770170211792,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,-0.0020175608806312084,0.0008162237936630845,-0.0141296973451972,0.0,1.168580729427049e-05,0.35752496123313904,0.25561952590942383,0.0,-0.1254008710384369,0.2641206383705139,-0.0035296741407364607,-0.04650482162833214,0.09932084381580353,0.09932084381580353,0.05191667750477791,0.0,0.0,0.8437013030052185,False,0.0
normal,3,False,-3.498737335205078,-0.10035353153944016,3.954828939825477,-2.2350516319274902,-0.0129891037940979,-1.6364803314208984,0.028392888605594635,0.36088085174560547,0.2596666216850281,0.36088085174560547,0.2596666216850281,7.217617034912109,0.15579997301101683,0.06550995260477066,0.07383136451244354,0.0696706622838974,-0.10035353153944016,-0.012989097274839878,0.02839289791882038,3.954828939825477,3.954828977584839,0.0018962002359330654,-0.001453363336622715,-0.7045527425461799,0.0,0,0.5564802885055542,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,0.028054162859916687,0.0018844770966097713,-0.0011739985784515738,4.7211747187247965e-06,-0.002002211520448327,0.36088085174560547,0.2596666216850281,0.0,-0.12544190883636475,0.26365527510643005,-0.004152466543018818,-0.0469701811671257,0.09876546263694763,0.09876546263694763,0.05133206769824028,0.0,0.0,0.8390988111495972,False,0.0
normal,4,False,-3.4971609115600586,-0.10022802650928497,3.9512482131530975,-2.2334697246551514,-0.012942571192979813,-1.634895920753479,0.028402015566825867,0.3609634041786194,0.2598809003829956,0.3609634041786194,0.2598809003829956,7.219268083572388,0.15592854022979735,0.06555721163749695,0.09156516194343567,0.07856118679046631,-0.10022802650928497,-0.01294256467372179,0.028402024880051613,3.9512482131530975,3.9512481689453125,0.003191887168213725,-0.0015354787465184927,-0.7081334692185591,0.0,0,0.5548957586288452,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,0.06066785007715225,0.0034494390711188316,-0.002038105158135295,4.9391201173420995e-06,-0.0014130487106740475,0.3609634041786194,0.2598809003829956,0.0,-0.12528502941131592,0.2634165585041046,-0.004387082066386938,-0.04720889776945114,0.09857761114835739,0.09857761114835739,0.05113432928919792,0.0,0.0,0.8386967182159424,False,0.0
normal,5,False,-3.4945249557495117,-0.10001631826162338,3.945188554698827,-2.2308244705200195,-0.012864522635936737,-1.6322463750839233,0.02841676026582718,0.3609580099582672,0.2599199414253235,0.3609580099582672,0.2599199414253235,7.219160199165344,0.15595196485519408,0.0656459704041481,0.10627688467502594,0.08596143126487732,-0.10001618415117264,-0.012864445336163044,0.028416810557246208,3.9451859933778883,3.945186138153076,0.005692380480468273,-0.0016725552268326283,-0.7141931810336827,0.0,0,0.5522463321685791,0.0,3.641417123390056e-08,0.0,False,True,False,False,False,False,0.09152960032224655,0.0028168102726340294,-0.004203157499432564,1.1904830898856744e-06,-0.002784190233796835,0.3609580099582672,0.2599199414253235,0.0,-0.12502023577690125,0.2630124092102051,-0.004778729286044836,-0.04761287942528725,0.09826036542654037,0.09826036542654037,0.0508003868162632,0.0,0.0,0.8383404016494751,False,0.0
normal,6,False,-3.490888833999634,-0.0997241958975792,3.9368621272137583,-2.227175712585449,-0.012756045907735825,-1.628591537475586,0.028438247740268707,0.36117443442344666,0.26005691289901733,0.36117443442344666,0.26005691289901733,7.223488688468933,0.1560341477394104,0.06576474756002426,0.11925950646400452,0.09251213073730469,-0.09972389787435532,-0.012755843810737133,0.028438406065106392,3.936857858345527,3.9368579387664795,0.003006823593750596,-0.0018011671490967274,-2.155157123014215,0.009893262758851051,1,0.5485917329788208,0.0,2.709583668547566e-07,0.0,False,True,False,False,False,False,0.12133385241031647,0.0037022409960627556,-0.005809888709336519,2.4175005819415674e-07,-0.0008224253542721272,0.36117443442344666,0.26005691289901733,0.0,-0.1246548742055893,0.2624571919441223,-0.005146191921085119,-0.14367714524269104,0.07398204505443573,0.07398204505443573,0.02524425834417343,0.0,0.0,0.8139251470565796,False,0.0
normal,7,False,-3.486363172531128,-0.09936200082302094,3.926625808082025,-2.2226345539093018,-0.012619618326425552,-1.6240429878234863,0.028467729687690735,0.36537542939186096,0.26557469367980957,0.36537542939186096,0.26557469367980957,7.307508587837219,0.15934481620788574,0.06620210409164429,0.1304449588060379,0.0983235314488411,-0.0993618443608284,-0.01261948887258768,0.028467847034335136,3.9266241005347324,3.926624059677124,0.003019471652805805,-0.0021474079694598913,-2.16539365558936,0.009893262758851051,1,0.5440431833267212,0.0,2.522081388178776e-07,0.0,False,True,False,False,False,False,0.14598560333251953,0.004267348907887936,-0.006785090547055006,7.950212079776975e-07,-0.0021608632523566484,0.36537542939186096,0.26557469367980957,0.0,-0.12420230358839035,0.2617749273777008,-0.006135451607406139,-0.14435957372188568,0.07338327169418335,0.07338327169418335,0.024613970890641212,0.0,0.0,0.8078085780143738,False,0.0
normal,8,False,-3.4812793731689453,-0.09893423318862915,3.9104267338048704,-2.217526435852051,-0.012549147009849548,-1.6189231872558594,0.028368964791297913,0.36595073342323303,0.2663315534591675,0.36595073342323303,0.2663315534591675,7.319014668464661,0.15979893207550047,0.06980156898498535,0.13726912438869476,0.10353534668684006,-0.09893403202295303,-0.012548992410302162,0.028369097039103508,3.9104241724839315,3.91042423248291,0.003718593157827854,-0.002549805212765932,-3.6724351954781227,0.018403952941298485,2,0.5389233827590942,0.0,2.779334522529098e-07,0.0,False,True,False,False,False,False,0.16776823997497559,0.012835386209189892,-0.011675011366605759,9.072475108951039e-07,-0.00041818912723101676,0.36595073342323303,0.2663315534591675,0.0,-0.12366753816604614,0.2606949508190155,-0.007285158149898052,-0.24482901394367218,0.047589633613824844,0.047589633613824844,0.0,0.0,0.0,0.7812581062316895,False,0.0
normal,9,False,-3.47532320022583,-0.09843897819519043,3.8923843622254584,-2.211543083190918,-0.012451853603124619,-1.6129270792007446,0.02827775478363037,0.37031805515289307,0.2719951272010803,0.37031805515289307,0.2719951272010803,7.406361103057861,0.1631970763206482,0.07660330832004547,0.14202864468097687,0.10931597650051117,-0.09843888133764267,-0.012451760470867157,0.028277842327952385,3.892383935338635,3.8923840522766113,0.004582502413541079,-0.0032428440172225237,-3.6904771401707115,0.018403952941298485,2,0.5329272747039795,0.0,2.505702525468223e-07,0.0,False,True,False,False,False,False,0.18193262815475464,0.009258108213543892,-0.00913725234568119,1.0548209417038379e-07,-7.114296749932691e-05,0.37031805515289307,0.2719951272010803,0.0,-0.12304860353469849,0.25949224829673767,-0.00926526915282011,-0.24603180587291718,0.04640639200806618,0.04640639200806618,0.0,0.0,0.0,0.7744112610816956,False,0.0
