mode,step,done,root_x,root_y,root_yaw_deg,fork_center_x,fork_center_y,tip_x,tip_y,raw_drive,raw_steer,applied_drive,applied_steer,drive_target_rad_s,steer_target_rad,left_steer_joint_pos_rad,right_steer_joint_pos_rad,mean_steer_joint_pos_rad,root_y_signed_m,center_y_signed_m,tip_y_signed_m,yaw_err_signed_deg,yaw_err_abs_deg,d_traj_m,d_traj_signed_m,yaw_traj_signed_deg,traj_s_norm,traj_closest_idx,dist_front_m,insert_depth_m,pallet_disp_xy_m,hold_counter,inserted,push_free,hold_entry,clean_insert_ready,dirty_insert,success,policy_vx_r,policy_vy_r,policy_yaw_rate,policy_lift_pos,policy_lift_vel,policy_prev_drive,policy_prev_steer,policy_prev_lift,policy_y_err_obs,policy_yaw_err_obs,policy_d_traj_signed_obs,policy_yaw_traj_err_obs,steer_target_cmd,steer_target_abs,steer_guidance_gate,steer_enforce_gate,steer_penalty_gate,steer_match,steer_wrong_sign,steer_shortfall
normal,0,False,-3.5,0.10000000149011612,0.0,-2.233297824859619,0.10000000149011612,-1.6332979202270508,0.10000000149011612,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.0,0.0,0.0,0.0,6.537130939050068,0.0,0,0.5532978773117065,0.0,0.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.4358087182044983,0.16520217061042786,0.16520217061042786,0.12126544862985611,0.0,0.0,0.8347978591918945,False,0.16520217061042786
normal,1,False,-3.4997739791870117,0.09985917806625366,-0.013542354972354462,-2.233071804046631,0.09955978393554688,-1.6330718994140625,0.09941796958446503,0.31450122594833374,0.202472522854805,0.31450122594833374,0.202472522854805,6.290024518966675,0.12148351371288299,0.0266187135130167,0.02637665905058384,0.02649768628180027,0.09985917806625366,0.09955979138612747,0.09941797703504562,-0.013542158204209427,0.013542158529162407,0.0004948503919877112,-0.0004115957417525351,6.523587954586402,0.0,0,0.5530718564987183,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,-0.0010017567547038198,0.0005612189997918904,-0.009599083103239536,0.0,3.279391603427939e-05,0.31450122594833374,0.202472522854805,0.0,0.12482397258281708,-0.000902810541447252,-0.0011759878834709525,0.43490585684776306,0.16408738493919373,0.16408738493919373,0.1200919896364212,0.0,0.0,0.9616148471832275,False,0.0
normal,2,False,-3.4991445541381836,0.09964819252490997,-0.0352248430196495,-2.232442855834961,0.0988694354891777,-1.632442831993103,0.0985005646944046,0.3438442349433899,0.23709772527217865,0.3438442349433899,0.23709772527217865,6.876884698867798,0.1422586351633072,0.054219964891672134,0.05377659946680069,0.05399828404188156,0.09964819252490997,0.0988694429397583,0.0985005721449852,-0.03522464625150447,0.03522464632987976,0.0014174454845488071,-0.0010258102556690574,6.501905519066197,0.0,0,0.5524426698684692,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,-0.002018170664086938,0.0007540072547271848,-0.013060108758509159,0.0,1.5616335076629184e-05,0.3438442349433899,0.23709772527217865,0.0,0.12456023693084717,-0.002348309615626931,-0.0029308865778148174,0.4334603548049927,0.16233623027801514,0.16233623027801514,0.11824867129325867,0.0,0.0,0.9252384901046753,False,0.0
normal,3,False,-3.498753309249878,0.09959302097558975,-0.04164178573455665,-2.2320516109466553,0.09867240488529205,-1.632051706314087,0.0982363298535347,0.3476642966270447,0.241486057639122,0.3476642966270447,0.241486057639122,6.9532859325408936,0.1448916345834732,0.06063215434551239,0.06735415756702423,0.06399315595626831,0.09959302097558975,0.09867241233587265,0.0982363373041153,-0.04164158896641162,0.041641589254140854,0.001820868463255465,-0.0011770074488595128,6.49548855634097,0.0,0,0.5520516633987427,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,0.02819102816283703,0.00033381656976416707,-0.0015485251788049936,2.0846541701757815e-06,-0.003960604779422283,0.3476642966270447,0.241486057639122,0.0,0.12449127435684204,-0.0027761058881878853,-0.0033628784585744143,0.4330325722694397,0.1618395447731018,0.1618395447731018,0.11772584170103073,0.0,0.0,0.9203534722328186,False,0.0
normal,4,False,-3.4971585273742676,0.09960846602916718,-0.04502700157699752,-2.230456829071045,0.09861300885677338,-1.6304570436477661,0.09814148396253586,0.347888708114624,0.2417735904455185,0.347888708114624,0.2417735904455185,6.9577741622924805,0.1450641542673111,0.06064522638916969,0.08441820740699768,0.07253171503543854,0.09960846602916718,0.09861301630735397,0.09814149141311646,-0.04502680480885249,0.04502680525183678,0.0031614878680557013,-0.0010544643737375736,6.492103770720405,0.0,0,0.5504568815231323,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,0.06137656420469284,0.0028247518930584192,-0.0017724650679156184,4.1634666558820754e-06,-0.0018056227127090096,0.347888708114624,0.2417735904455185,0.0,0.12451058626174927,-0.0030017870012670755,-0.0030127554200589657,0.43280690908432007,0.1617181897163391,0.1617181897163391,0.11759810149669647,0.0,0.0,0.9199445843696594,False,0.0
normal,5,False,-3.494497060775757,0.09963305294513702,-0.05068038717262476,-2.2277956008911133,0.09851260483264923,-1.6277958154678345,0.09798187762498856,0.3480266332626343,0.24187412858009338,0.3480266332626343,0.24187412858009338,6.9605326652526855,0.145124477148056,0.060730211436748505,0.09849127382040024,0.07961074262857437,0.09963318705558777,0.0985126793384552,0.09798192977905273,-0.050682898467763936,0.05068289861083031,0.005699720699340105,-0.0008512563072144985,6.4864505085217505,0.0,0,0.5477957725524902,0.0,3.641417123390056e-08,0.0,False,True,False,False,False,False,0.09260719269514084,0.002845904091373086,-0.003391969483345747,2.719068788792356e-06,-0.0050723133608698845,0.3480266332626343,0.24187412858009338,0.0,0.12454148381948471,-0.003378859953954816,-0.002432161010801792,0.4324300289154053,0.16151396930217743,0.16151396930217743,0.11738312989473343,0.0,0.0,0.9196398258209229,False,0.0
normal,6,False,-3.490816354751587,0.09966830164194107,-0.058447829708183345,-2.2241148948669434,0.09837613254785538,-1.624115228652954,0.09776406735181808,0.3482125997543335,0.24205560982227325,0.3482125997543335,0.24205560982227325,6.96425199508667,0.14523336589336394,0.06084302440285683,0.11086808890104294,0.08585555851459503,0.09966859966516495,0.0983763337135315,0.09776422381401062,-0.05845205188566832,0.058452051132917404,0.005513997282832861,-0.0020536123774945736,22.435393866760393,0.012250503525137901,1,0.544115424156189,0.0,2.709583668547566e-07,0.0,False,True,False,False,False,False,0.12286237627267838,0.003949949983507395,-0.005372027400881052,9.000161185213074e-07,-0.0021785302087664604,0.3482125997543335,0.24205560982227325,0.0,0.12458574771881104,-0.0038968033622950315,-0.005867464002221823,1.0,0.30240964889526367,0.30240964889526367,0.26569435000419617,0.0,0.0,0.9396459460258484,False,0.06035403907299042
normal,7,False,-3.486215353012085,0.09971065074205399,-0.06808369917265733,-2.2195141315460205,0.09820544719696045,-1.6195145845413208,0.09749247878789902,0.3191049098968506,0.20498840510845184,0.3191049098968506,0.20498840510845184,6.382098197937012,0.1229930430650711,0.06099506467580795,0.1168246939778328,0.08890987932682037,0.09971080720424652,0.0982055738568306,0.09749259799718857,-0.06808492647227382,0.06808492541313171,0.0009195607854053378,-0.0004512638261076063,22.425756469841502,0.012250503525137901,1,0.5395147800445557,0.0,2.522081388178776e-07,0.0,False,True,False,False,False,False,0.1490648090839386,0.004513282794505358,-0.005185382440686226,2.65598851001414e-06,-0.0033029289916157722,0.3191049098968506,0.20498840510845184,0.0,0.12463851273059845,-0.004538995213806629,-0.001289325300604105,1.0,0.3029402196407318,0.3029402196407318,0.2662528455257416,0.0,0.0,0.9020481705665588,False,0.09795181453227997
normal,8,False,-3.480872392654419,0.09975925087928772,-0.07954178840249669,-2.2141714096069336,0.09800073504447937,-1.614172101020813,0.09716777503490448,0.3152579963207245,0.20049519836902618,0.3152579963207245,0.20049519836902618,6.30515992641449,0.12029711902141571,0.06115848943591118,0.12016810476779938,0.09066329896450043,0.09975945204496384,0.0980008915066719,0.09716790914535522,-0.07954388948607925,0.07954388856887817,0.0044410135596990585,0.001403487753123045,22.4143005350561,0.012250503525137901,1,0.5341722965240479,0.0,2.779334522529098e-07,0.0,False,True,False,False,False,False,0.16953592002391815,0.0051969909109175205,-0.006819523870944977,1.4582851690647658e-06,-0.003315782407298684,0.3152579963207245,0.20049519836902618,0.0,0.12469931691884995,-0.005302926059812307,0.0040099648758769035,1.0,0.3035411834716797,0.3035411834716797,0.2668854594230652,0.0,0.0,0.8969539999961853,False,0.1030459851026535
normal,9,False,-3.474928140640259,0.09981221705675125,-0.09227463505736239,-2.2082278728485107,0.09777219593524933,-1.6082285642623901,0.09680590033531189,0.31497591733932495,0.2001124918460846,0.31497591733932495,0.2001124918460846,6.299518346786499,0.12006749510765075,0.06134500727057457,0.12245554476976395,0.09190027415752411,0.09981231391429901,0.09777228534221649,0.09680598974227905,-0.09227504193386568,0.09227504581212997,0.004251653794199228,0.002573425183072686,39.76549795159764,0.02239859662950039,2,0.528228759765625,0.0,2.505702525468223e-07,0.0,False,True,False,False,False,False,0.18629172444343567,0.0072564235888421535,-0.006821982562541962,3.430719516472891e-06,-0.0017325840890407562,0.31497591733932495,0.2001124918460846,0.0,0.12476539611816406,-0.006151669193059206,0.007352643646299839,1.0,0.30369919538497925,0.30369919538497925,0.2670517861843109,0.0,0.0,0.8964133262634277,False,0.10358670353889465
normal,10,False,-3.46848726272583,0.09986640512943268,-0.10621762581451039,-2.2017874717712402,0.09751813113689423,-1.6017884016036987,0.09640582650899887,0.3150328993797302,0.2001335620880127,0.3150328993797302,0.2001335620880127,6.3006579875946045,0.12008013725280761,0.0616549588739872,0.12410470843315125,0.09287983179092407,0.09986656904220581,0.09751826524734497,0.09640594571828842,-0.1062189264852996,0.10621892660856247,0.006730333901941776,0.006505593191832304,39.75155753550164,0.02239859662950039,2,0.5217885971069336,0.0,2.8111364258620597e-07,0.0,False,True,False,False,False,False,0.20004136860370636,0.008911308832466602,-0.007156077306717634,3.212660658391542e-06,0.0001829589600674808,0.3150328993797302,0.2001335620880127,0.0,0.12483321130275726,-0.007081261835992336,0.01858741044998169,1.0,0.30538493394851685,0.30538493394851685,0.2688262462615967,0.0,0.0,0.8947486281394958,False,0.10525137186050415
normal,11,False,-3.461644411087036,0.09992475807666779,-0.12092535096475521,-2.1949453353881836,0.09725132584571838,-1.5949465036392212,0.09598500281572342,0.3151625096797943,0.20027582347393036,0.3151625096797943,0.20027582347393036,6.303250193595886,0.12016549408435821,0.06196226179599762,0.1251252144575119,0.09354373812675476,0.09992489963769913,0.09725144505500793,0.09598511457443237,-0.12092621807861467,0.12092621624469757,0.011412085965275764,0.009302452206611633,54.58536579002992,0.031632695347070694,3,0.514946699142456,0.0,2.5452956720073416e-07,0.0,False,True,False,False,False,False,0.210955411195755,0.008236530236899853,-0.007783918641507626,3.313132992843748e-06,0.0002115817042067647,0.3151625096797943,0.20027582347393036,0.0,0.12490612268447876,-0.008061747997999191,0.02657843567430973,1.0,0.3063918352127075,0.3063918352127075,0.2698861360549927,0.0,0.0,0.893884003162384,False,0.10611601173877716
normal,12,False,-3.454479932785034,0.09998207539319992,-0.1366069983916417,-2.187781572341919,0.09696195274591446,-1.5877832174301147,0.0955314114689827,0.31539392471313477,0.20040687918663025,0.31539392471313477,0.20040687918663025,6.307878494262695,0.12024412751197815,0.06220285966992378,0.12587273120880127,0.09403779357671738,0.09998225420713425,0.0969620943069458,0.09553153812885284,-0.13660875929978708,0.1366087645292282,0.015148838050663471,0.014981821179389954,54.56968367569557,0.031632695347070694,3,0.5077834129333496,0.0,2.780449221972958e-07,0.0,False,True,False,False,False,False,0.21998588740825653,0.009001340717077255,-0.008616642095148563,2.667255330379703e-06,0.0005041305557824671,0.31539392471313477,0.20040687918663025,0.0,0.12497781962156296,-0.009107250720262527,0.042805206030607224,1.0,0.30900394916534424,0.30900394916534424,0.27263572812080383,0.0,0.0,0.8914029598236084,False,0.10859706997871399
normal,13,False,-3.4470558166503906,0.10004037618637085,-0.152826002947351,-2.180358409881592,0.09666167944669724,-1.5803604125976562,0.095061294734478,0.31559044122695923,0.2004871666431427,0.31559044122695923,0.2004871666431427,6.311808824539185,0.12029229998588561,0.06252364814281464,0.1263541579246521,0.09443890303373337,0.10004051774740219,0.09666180610656738,0.09506140649318695,-0.15282691008185012,0.15282690525054932,0.02099480666220188,0.020866595208644867,54.553468806605956,0.031632695347070694,3,0.5003606081008911,0.0,2.552171451952745e-07,0.0,False,True,False,False,False,False,0.22716467082500458,0.009168003685772419,-0.00845594797283411,3.0413166314247064e-06,0.000251989986281842,0.31559044122695923,0.2004871666431427,0.0,0.1250506490468979,-0.010188460350036621,0.05961884558200836,1.0,0.31171122193336487,0.31171122193336487,0.27548548579216003,0.0,0.0,0.8887759447097778,False,0.11122405529022217
