mode,step,done,root_x,root_y,root_yaw_deg,fork_center_x,fork_center_y,tip_x,tip_y,raw_drive,raw_steer,applied_drive,applied_steer,drive_target_rad_s,steer_target_rad,left_steer_joint_pos_rad,right_steer_joint_pos_rad,mean_steer_joint_pos_rad,root_y_signed_m,center_y_signed_m,tip_y_signed_m,yaw_err_signed_deg,yaw_err_abs_deg,d_traj_m,d_traj_signed_m,yaw_traj_signed_deg,traj_s_norm,traj_closest_idx,dist_front_m,insert_depth_m,pallet_disp_xy_m,hold_counter,inserted,push_free,hold_entry,clean_insert_ready,dirty_insert,success,policy_vx_r,policy_vy_r,policy_yaw_rate,policy_lift_pos,policy_lift_vel,policy_prev_drive,policy_prev_steer,policy_prev_lift,policy_y_err_obs,policy_yaw_err_obs,policy_d_traj_signed_obs,policy_yaw_traj_err_obs,steer_target_cmd,steer_target_abs,steer_guidance_gate,steer_enforce_gate,steer_penalty_gate,steer_match,steer_wrong_sign,steer_shortfall
normal,0,False,-3.5,-0.10000000149011612,0.0,-2.233297824859619,-0.10000000149011612,-1.6332979202270508,-0.10000000149011612,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,-0.10000000149011612,-0.10000000149011612,-0.10000000149011612,0.0,0.0,0.0,0.0,-6.537130939050068,0.0,0,0.5532978773117065,0.0,0.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,0.0,-0.4358087182044983,-0.16520217061042786,0.16520217061042786,0.12126544862985611,0.0,0.0,0.8347978591918945,False,0.16520217061042786
normal,1,False,-3.4997687339782715,-0.10017795860767365,-0.017110756121479217,-2.2330667972564697,-0.10055623948574066,-1.6330667734146118,-0.10073542594909668,0.35469815135002136,0.25487327575683594,0.35469815135002136,0.25487327575683594,7.093963027000427,0.15292396545410156,0.0333634689450264,0.03311794996261597,0.03324070945382118,-0.10017795860767365,-0.10055623203516006,-0.10073541849851608,-0.017110561020860834,0.017110561951994896,0.0006023076130077243,-0.000578884151764214,-6.554241416694596,0.0,0,0.553066611289978,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,-0.0010011529084295034,0.0007098129135556519,-0.012125113047659397,0.0,1.3011275768803898e-05,0.35469815135002136,0.25487327575683594,0.0,-0.12522244453430176,-0.0011407040292397141,-0.001653954735957086,-0.4369494318962097,-0.16664433479309082,0.16664433479309082,0.12278351932764053,0.0,0.0,0.5784823894500732,True,0.42151761054992676
normal,2,False,-3.499136209487915,-0.10043776035308838,-0.043839342404102054,-2.2324345111846924,-0.10140696913003922,-1.6324347257614136,-0.10186605155467987,0.3824876844882965,0.2882397770881653,0.3824876844882965,0.2882397770881653,7.64975368976593,0.17294386625289918,0.06667817384004593,0.0662296935915947,0.06645393371582031,-0.10043776035308838,-0.10140696167945862,-0.10186604410409927,-0.04383914563595702,0.043839145451784134,0.0016507175751030445,-0.0014960045227780938,-6.580969654464149,0.0,0,0.5524345636367798,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,-0.002016243292018771,0.000927925924770534,-0.016046153381466866,0.0,7.287203516170848e-06,0.3824876844882965,0.2882397770881653,0.0,-0.12554720044136047,-0.002922609681263566,-0.004274298902601004,-0.43873131275177,-0.16889427602291107,0.16889427602291107,0.1251518726348877,0.0,0.0,0.5428659319877625,True,0.45713406801223755
normal,3,False,-3.4987683296203613,-0.10050550103187561,-0.05172219112425005,-2.2320668697357178,-0.1016489788889885,-1.632067084312439,-0.10219061374664307,0.38515976071357727,0.2914893627166748,0.38515976071357727,0.2914893627166748,7.703195214271545,0.17489361763000488,0.07403116673231125,0.08273886889219284,0.07838501781225204,-0.10050550103187561,-0.1016489714384079,-0.10219060629606247,-0.051721994356105014,0.05172199383378029,0.0020577602554112673,-0.0017782766371965408,-6.588852973426813,0.0,0,0.5520669221878052,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,0.027025561779737473,0.0025566676631569862,-0.0014144013402983546,4.461271601030603e-06,-0.0011691763065755367,0.38515976071357727,0.2914893627166748,0.0,-0.12563186883926392,-0.0034481328912079334,-0.005080790724605322,-0.43925684690475464,-0.16955958306789398,0.16955958306789398,0.12585219740867615,0.0,0.0,0.53895103931427,True,0.46104896068573
normal,4,False,-3.4972190856933594,-0.10048775374889374,-0.055756111520230155,-2.230517625808716,-0.1017204150557518,-1.630517840385437,-0.10230429470539093,0.38536208868026733,0.2917056679725647,0.38536208868026733,0.2917056679725647,7.707241773605347,0.1750234007835388,0.0742698535323143,0.10274799168109894,0.08850891888141632,-0.10048775374889374,-0.1017204076051712,-0.10230428725481033,-0.05575591475208512,0.055755916982889175,0.0032694542314857244,-0.0020256084389984608,-6.592886200131706,0.0,0,0.5505176782608032,0.0,6.125415552560298e-08,0.0,False,True,False,False,False,False,0.05937124788761139,0.004287637770175934,-0.002355731325224042,5.129486908117542e-06,-0.0009347029263153672,0.38536208868026733,0.2917056679725647,0.0,-0.12560969591140747,-0.003717060899361968,-0.005787452682852745,-0.4395257532596588,-0.16992932558059692,0.16992932558059692,0.12624140083789825,0.0,0.0,0.5383650064468384,True,0.4616349935531616
normal,5,False,-3.494611978530884,-0.10045652836561203,-0.06244791265332412,-2.2279105186462402,-0.10183713585138321,-1.6279109716415405,-0.10249108821153641,0.3854050040245056,0.2917923927307129,0.3854050040245056,0.2917923927307129,7.708100080490112,0.17507543563842773,0.07436748594045639,0.11933990567922592,0.09685369580984116,-0.10045639425516129,-0.10183706134557724,-0.10249103605747223,-0.06245042061340998,0.06245042011141777,0.005691935308277607,-0.0024383538402616978,-6.599578504857848,0.0,0,0.5479109287261963,0.0,3.641417123390056e-08,0.0,False,True,False,False,False,False,0.09041720628738403,0.00365583598613739,-0.004252052865922451,3.027078264494776e-06,-0.0039569176733493805,0.3854050040245056,0.2917923927307129,0.0,-0.12557049095630646,-0.00416336115449667,-0.006966725457459688,-0.4399718940258026,-0.17054317891597748,0.17054317891597748,0.12688755989074707,0.0,0.0,0.5376644134521484,True,0.46233558654785156
normal,6,False,-3.4910130500793457,-0.10041485726833344,-0.07184109028874448,-2.2243118286132812,-0.10200313478708267,-1.624312400817871,-0.10275544971227646,0.38554733991622925,0.29198479652404785,0.38554733991622925,0.29198479652404785,7.710946798324585,0.1751908779144287,0.07450809329748154,0.13359788060188293,0.10405299067497253,-0.10041455924510956,-0.10200293362140656,-0.10275529325008392,-0.07184530579612286,0.07184530794620514,0.006797556299716234,-0.0012218391057103872,-22.56568314027297,0.012250503525137901,1,0.544312596321106,0.0,2.709583668547566e-07,0.0,False,True,False,False,False,False,0.11919853836297989,0.004495004191994667,-0.006298138294368982,3.9748974245412683e-07,-0.000947476364672184,0.38554733991622925,0.29198479652404785,0.0,-0.12551820278167725,-0.004789687227457762,-0.0034909690730273724,-1.0,-0.31023019552230835,0.31023019552230835,0.2739265263080597,0.0,0.0,0.3977850079536438,True,0.6022149920463562
normal,7,False,-3.486542224884033,-0.10036501288414001,-0.08329025491593786,-2.219841480255127,-0.10220640897750854,-1.6198421716690063,-0.10307861864566803,0.4032222032546997,0.3163601756095886,0.4032222032546997,0.3163601756095886,8.064444065093994,0.18981610536575316,0.07476145774126053,0.14790618419647217,0.11133381724357605,-0.10036485642194748,-0.1022062823176384,-0.10307849943637848,-0.08329148221555435,0.08329148590564728,0.004083428531885147,-0.0031197776552289724,-22.577132244869205,0.012250503525137901,1,0.5398423671722412,0.0,2.522081388178776e-07,0.0,False,True,False,False,False,False,0.1429835706949234,0.005575563292950392,-0.007772606331855059,5.43548708265007e-07,-0.0017967335879802704,0.4032222032546997,0.3163601756095886,0.0,-0.1254560649394989,-0.0055527654476463795,-0.00891365110874176,-1.0,-0.31177249550819397,0.31177249550819397,0.275549978017807,0.0,0.0,0.371867299079895,True,0.628132700920105
normal,8,False,-3.481365442276001,-0.10030641406774521,-0.09691376757672249,-2.214665174484253,-0.10244899243116379,-1.6146659851074219,-0.10346387326717377,0.40470317006111145,0.3182309865951538,0.40470317006111145,0.3182309865951538,8.094063401222229,0.19093859195709229,0.0749458372592926,0.15973415970802307,0.11733999848365784,-0.10030621290206909,-0.10244883596897125,-0.10346373915672302,-0.09691587533041167,0.09691587835550308,0.005707457195967436,-0.005324098281562328,-22.590756764716087,0.012250503525137901,1,0.5346661806106567,0.0,2.779334522529098e-07,0.0,False,True,False,False,False,False,0.16285233199596405,0.005578015465289354,-0.008046714588999748,6.331693498395907e-07,-0.002394325565546751,0.40470317006111145,0.3182309865951538,0.0,-0.12538276612758636,-0.0064610582776367664,-0.015211709775030613,-1.0,-0.3135772943496704,0.3135772943496704,0.2774497866630554,0.0,0.0,0.3681917190551758,True,0.6318082809448242
normal,9,False,-3.4755823612213135,-0.10019033402204514,-0.12389138729225968,-2.208883285522461,-0.10292933881282806,-1.608884572982788,-0.1042267233133316,0.404836505651474,0.31837308406829834,0.404836505651474,0.31837308406829834,8.09673011302948,0.191023850440979,0.08711130172014236,0.16332916915416718,0.12522023916244507,-0.10019023716449738,-0.1029292494058609,-0.10422663390636444,-0.1238918008388696,0.12389180064201355,0.009438920766115189,-0.0061118812300264835,-39.98166660863937,0.02239859662950039,2,0.528884768486023,0.0,2.505702525468223e-07,0.0,False,True,False,False,False,False,0.17790040373802185,0.015474461019039154,-0.013157516717910767,1.3139019756636117e-05,-0.0004535512998700142,0.404836505651474,0.31837308406829834,0.0,-0.12523779273033142,-0.008259452879428864,-0.01746251806616783,-1.0,-0.31510695815086365,0.31510695815086365,0.2790599465370178,0.0,0.0,0.3665199279785156,True,0.6334800720214844
