idx,x,y,tx,ty,s_norm
0,-2.383297920227051,0.0,0.9999539852142334,0.0,0.0
1,-2.3615522384643555,0.0,0.9999464750289917,0.0,0.016685107722878456
2,-2.342860698699951,0.0,0.9999382495880127,0.0,0.031026823446154594
3,-2.326666831970215,0.0,0.9999297857284546,0.0,0.04345211386680603
4,-2.3124165534973145,0.0,0.9999222159385681,0.0,0.05438612028956413
5,-2.2995543479919434,0.0,0.9999168515205383,0.0,0.06425508111715317
6,-2.287524938583374,0.0,0.9999148845672607,0.0,0.07348505407571793
7,-2.275773286819458,0.0,0.9999168515205383,0.0,0.08250190317630768
8,-2.2637436389923096,0.0,0.9999222159385681,0.0,0.09173205494880676
9,-2.2508814334869385,0.0,0.9999297857284546,0.0,0.1016010195016861
10,-2.236631155014038,0.0,0.9999382495880127,0.0,0.1125350221991539
11,-2.220437526702881,0.0,0.9999464750289917,0.0,0.12496013194322586
12,-2.2017455101013184,0.0,0.9999539852142334,0.0,0.13930220901966095
13,-2.180000066757202,0.0,0.0,0.0,0.15598714351654053
14,-2.180000066757202,0.0,0.9999945759773254,0.0,0.15598714351654053
15,-1.996666669845581,0.0,0.9999945759773254,0.0,0.2966558635234833
16,-1.81333327293396,0.0,0.9999945759773254,0.0,0.4373246133327484
17,-1.630000114440918,0.0,0.9999945759773254,0.0,0.5779931545257568
18,-1.4466667175292969,0.0,0.9999945759773254,0.0,0.718661904335022
19,-1.2633334398269653,0.0,0.9999945759773254,0.0,0.8593305349349976
20,-1.0800000429153442,0.0,0.9999945759773254,0.0,0.9999992847442627
