idx,x,y,tx,ty,s_norm
0,-2.0832977294921875,0.0,0.9998589158058167,0.0,0.0
1,-2.0762109756469727,0.0,-0.9943640232086182,0.0,0.005784869659692049
2,-2.076387405395508,0.0,-0.9998366236686707,0.0,0.005928887985646725
3,-2.082505464553833,0.0,-0.9999068975448608,0.0,0.010923018679022789
4,-2.093245267868042,0.0,-0.9999287724494934,0.0,0.01968984864652157
5,-2.107286214828491,0.0,-0.9999375939369202,0.0,0.031151380389928818
6,-2.123307943344116,0.0,-0.999940037727356,0.0,0.04422980919480324
7,-2.1399898529052734,0.0,-0.9999375939369202,0.0,0.05784714221954346
8,-2.1560113430023193,0.0,-0.9999287724494934,0.0,0.07092537730932236
9,-2.1700525283813477,0.0,-0.9999068975448608,0.0,0.08238710463047028
10,-2.1807923316955566,0.0,-0.9998366236686707,0.0,0.09115393459796906
11,-2.186910629272461,0.0,-0.9943488240242004,0.0,0.09614825993776321
12,-2.187086582183838,0.0,0.9998589158058167,0.0,0.09629188477993011
13,-2.180000066757202,0.0,0.0,0.0,0.10207656025886536
14,-2.180000066757202,0.0,0.9999945759773254,0.0,0.10207656025886536
15,-1.996666669845581,0.0,0.9999945759773254,0.0,0.25173038244247437
16,-1.81333327293396,0.0,0.9999945759773254,0.0,0.4013842046260834
17,-1.630000114440918,0.0,0.9999945759773254,0.0,0.5510378479957581
18,-1.4466667175292969,0.0,0.9999945759773254,0.0,0.7006916403770447
19,-1.2633334398269653,0.0,0.9999945759773254,0.0,0.8503453731536865
20,-1.0800000429153442,0.0,0.9999945759773254,0.0,0.9999992251396179
