label,rollout,env_id,success,ever_inserted,ever_inserted_push_free,ever_hold_entry,ever_clean_insert_ready,ever_dirty_insert,max_pallet_disp_xy,max_hold_counter,episode_length,timeout,mean_abs_drive_raw,mean_abs_steer_raw,mean_abs_drive_applied,mean_abs_steer_applied,max_abs_steer_raw,steer_signflips
exp83_zero_steer_r1_seed44_iter100,0,0,1,1,0,1,0,1,2.05806565284729,9.0,399,0,0.36803579330444336,0.005902689881622791,0.36803579330444336,0.0,0.009400967508554459,0
exp83_zero_steer_r1_seed44_iter100,0,1,1,1,1,1,1,0,7.982388297023135e-07,9.0,156,0,0.39476582407951355,0.008164510130882263,0.39476582407951355,0.0,0.010509289801120758,0
exp83_zero_steer_r1_seed44_iter100,0,2,1,1,1,1,1,0,7.982388297023135e-07,9.0,155,0,0.3923151195049286,0.0068234833888709545,0.3923151195049286,0.0,0.008110439404845238,0
exp83_zero_steer_r1_seed44_iter100,0,3,1,1,1,1,1,0,7.981352609931491e-07,9.0,151,0,0.3965091407299042,0.006533571518957615,0.3965091407299042,0.0,0.009152460843324661,0
exp83_zero_steer_r1_seed44_iter100,0,4,1,1,1,1,1,0,7.982388297023135e-07,9.0,180,0,0.36988595128059387,0.005934223998337984,0.36988595128059387,0.0,0.007911499589681625,0
exp83_zero_steer_r1_seed44_iter100,0,5,1,1,1,1,1,0,7.982388297023135e-07,9.0,157,0,0.38942667841911316,0.006965011823922396,0.38942667841911316,0.0,0.008634090423583984,0
exp83_zero_steer_r1_seed44_iter100,0,6,1,1,1,1,1,0,7.981352609931491e-07,9.0,148,0,0.39286962151527405,0.006836682558059692,0.39286962151527405,0.0,0.009563542902469635,0
exp83_zero_steer_r1_seed44_iter100,0,7,1,1,1,1,1,0,7.982388297023135e-07,9.0,169,0,0.3700655996799469,0.006393082905560732,0.3700655996799469,0.0,0.00917021557688713,0
exp83_zero_steer_r1_seed44_iter100,0,8,1,1,1,1,1,0,7.982388297023135e-07,9.0,161,0,0.3908548653125763,0.007957703433930874,0.3908548653125763,0.0,0.01032676175236702,0
exp83_zero_steer_r1_seed44_iter100,0,9,1,1,1,1,1,0,7.982388297023135e-07,9.0,158,0,0.3840025067329407,0.006726263090968132,0.3840025067329407,0.0,0.009810177609324455,0
exp83_zero_steer_r1_seed44_iter100,0,10,1,1,1,1,1,0,0.01093907468020916,9.0,174,0,0.37516430020332336,0.006406750995665789,0.37516430020332336,0.0,0.009141767397522926,0
exp83_zero_steer_r1_seed44_iter100,0,11,1,1,1,1,1,0,0.013521739281713963,9.0,149,0,0.3972097933292389,0.007038538344204426,0.3972097933292389,0.0,0.009423047304153442,0
exp83_zero_steer_r1_seed44_iter100,0,12,1,1,1,1,1,0,7.981352609931491e-07,9.0,151,0,0.38999345898628235,0.006428113207221031,0.38999345898628235,0.0,0.008787252008914948,0
exp83_zero_steer_r1_seed44_iter100,0,13,1,1,1,1,1,0,7.982388297023135e-07,9.0,165,0,0.37559205293655396,0.006816920358687639,0.37559205293655396,0.0,0.009162992238998413,0
exp83_zero_steer_r1_seed44_iter100,0,14,1,1,0,1,0,1,0.1141364648938179,9.0,188,0,0.37123405933380127,0.006809324026107788,0.37123405933380127,0.0,0.008982710540294647,0
exp83_zero_steer_r1_seed44_iter100,0,15,1,1,1,1,1,0,7.982388297023135e-07,9.0,160,0,0.3823340833187103,0.006410620640963316,0.3823340833187103,0.0,0.00965861976146698,0
exp83_zero_steer_r1_seed44_iter100,1,0,1,1,1,1,1,0,0.0012378804385662079,9.0,177,0,0.3699546456336975,0.005930305924266577,0.3699546456336975,0.0,0.008891284465789795,0
exp83_zero_steer_r1_seed44_iter100,1,1,1,1,1,1,1,0,4.3581931663538853e-07,9.0,64,0,0.3953791856765747,0.008298097178339958,0.3953791856765747,0.0,0.009962249547243118,0
exp83_zero_steer_r1_seed44_iter100,1,2,1,1,1,1,1,0,2.422318061690021e-07,9.0,89,0,0.38884755969047546,0.007329593878239393,0.38884755969047546,0.0,0.008218716830015182,0
exp83_zero_steer_r1_seed44_iter100,1,3,1,1,1,1,1,0,0.03516443446278572,9.0,66,0,0.3993295133113861,0.0068321507424116135,0.3993295133113861,0.0,0.007545553147792816,0
exp83_zero_steer_r1_seed44_iter100,1,4,1,1,1,1,1,0,8.956723831943236e-06,9.0,83,0,0.3844340145587921,0.007159780245274305,0.3844340145587921,0.0,0.009038485586643219,0
exp83_zero_steer_r1_seed44_iter100,1,5,1,1,1,1,1,0,1.3252022199594649e-06,9.0,98,0,0.3866746425628662,0.006156552117317915,0.3866746425628662,0.0,0.008685685694217682,0
exp83_zero_steer_r1_seed44_iter100,1,6,1,1,1,1,1,0,1.4321034313979908e-06,9.0,43,0,0.4194468855857849,0.008901619352400303,0.4194468855857849,0.0,0.009866984561085701,0
exp83_zero_steer_r1_seed44_iter100,1,7,1,1,1,1,1,0,0.00013253989163786173,9.0,117,0,0.38446372747421265,0.0062397862784564495,0.38446372747421265,0.0,0.007789943367242813,0
exp83_zero_steer_r1_seed44_iter100,1,8,1,1,1,1,1,0,0.0018778565572574735,9.0,101,0,0.38488197326660156,0.006818186491727829,0.38488197326660156,0.0,0.009008636698126793,0
exp83_zero_steer_r1_seed44_iter100,1,9,1,1,0,1,0,1,2.1671218872070312,9.0,178,0,0.3622495234012604,0.004615576006472111,0.3622495234012604,0.0,0.006754251196980476,0
exp83_zero_steer_r1_seed44_iter100,1,10,1,1,1,1,1,0,0.030974648892879486,9.0,104,0,0.38286134600639343,0.0067901904694736,0.38286134600639343,0.0,0.009400732815265656,0
exp83_zero_steer_r1_seed44_iter100,1,11,1,1,1,1,1,0,0.0021395429503172636,9.0,44,0,0.4003954529762268,0.006003218237310648,0.4003954529762268,0.0,0.0069946106523275375,0
exp83_zero_steer_r1_seed44_iter100,1,12,1,1,1,1,1,0,8.641654289931466e-07,9.0,109,0,0.37665313482284546,0.0066005028784275055,0.37665313482284546,0.0,0.008886709809303284,0
exp83_zero_steer_r1_seed44_iter100,1,13,1,1,1,1,1,0,4.812525276065571e-07,9.0,79,0,0.37867867946624756,0.006858675740659237,0.37867867946624756,0.0,0.00817110389471054,0
exp83_zero_steer_r1_seed44_iter100,1,14,1,1,1,1,1,0,9.455372946831631e-07,9.0,113,0,0.37842121720314026,0.0060378448106348515,0.37842121720314026,0.0,0.009005861356854439,0
