label,rollout,env_id,success,ever_inserted,ever_inserted_push_free,ever_hold_entry,ever_clean_insert_ready,ever_dirty_insert,max_pallet_disp_xy,max_hold_counter,episode_length,timeout,mean_abs_drive_raw,mean_abs_steer_raw,mean_abs_drive_applied,mean_abs_steer_applied,max_abs_steer_raw,steer_signflips
exp83_zero_steer_r1_seed42_iter100,0,0,1,1,0,1,0,1,2.124009370803833,9.0,522,0,0.11956414580345154,0.030114438384771347,0.11956414580345154,0.0,0.0366324745118618,0
exp83_zero_steer_r1_seed42_iter100,0,1,1,1,1,1,1,0,7.982388297023135e-07,9.0,192,0,0.12245465815067291,0.031121088191866875,0.12245465815067291,0.0,0.03809100762009621,0
exp83_zero_steer_r1_seed42_iter100,0,2,1,1,1,1,1,0,7.982388297023135e-07,9.0,193,0,0.12126999348402023,0.030927276238799095,0.12126999348402023,0.0,0.03517436981201172,0
exp83_zero_steer_r1_seed42_iter100,0,3,1,1,1,1,1,0,7.982388297023135e-07,9.0,188,0,0.1214161068201065,0.03203391283750534,0.1214161068201065,0.0,0.036770328879356384,0
exp83_zero_steer_r1_seed42_iter100,0,4,1,1,1,1,1,0,7.982388297023135e-07,9.0,219,0,0.12644457817077637,0.036861807107925415,0.12644457817077637,0.0,0.041170764714479446,0
exp83_zero_steer_r1_seed42_iter100,0,5,1,1,1,1,1,0,7.982388297023135e-07,9.0,193,0,0.12133416533470154,0.031298696994781494,0.12133416533470154,0.0,0.034806299954652786,0
exp83_zero_steer_r1_seed42_iter100,0,6,1,1,1,1,1,0,7.982388297023135e-07,9.0,185,0,0.12209994345903397,0.031349219381809235,0.12209994345903397,0.0,0.03595593571662903,0
exp83_zero_steer_r1_seed42_iter100,0,7,1,1,1,1,1,0,0.0004949080757796764,9.0,207,0,0.12345921248197556,0.034522175788879395,0.12345921248197556,0.0,0.040477901697158813,0
exp83_zero_steer_r1_seed42_iter100,0,8,1,1,1,1,1,0,7.982388297023135e-07,9.0,200,0,0.12041313201189041,0.03095518797636032,0.12041313201189041,0.0,0.038179781287908554,0
exp83_zero_steer_r1_seed42_iter100,0,9,1,1,1,1,1,0,7.982388297023135e-07,9.0,198,0,0.12177484482526779,0.031987614929676056,0.12177484482526779,0.0,0.03645988553762436,0
exp83_zero_steer_r1_seed42_iter100,0,10,1,1,1,1,1,0,0.013768039643764496,9.0,214,0,0.12340525537729263,0.03451983258128166,0.12340525537729263,0.0,0.040304362773895264,0
exp83_zero_steer_r1_seed42_iter100,0,11,1,1,1,1,1,0,0.014304159209132195,9.0,186,0,0.12160813063383102,0.030445097014307976,0.12160813063383102,0.0,0.03517801687121391,0
exp83_zero_steer_r1_seed42_iter100,0,12,1,1,1,1,1,0,7.982388297023135e-07,9.0,185,0,0.1226188987493515,0.03215986117720604,0.1226188987493515,0.0,0.036070819944143295,0
exp83_zero_steer_r1_seed42_iter100,0,13,1,1,1,1,1,0,7.982388297023135e-07,9.0,203,0,0.1224839985370636,0.03351442515850067,0.1224839985370636,0.0,0.0391564667224884,0
exp83_zero_steer_r1_seed42_iter100,0,14,1,1,0,1,0,1,0.11141595989465714,9.0,232,0,0.1249108538031578,0.03480475768446922,0.1249108538031578,0.0,0.04154777526855469,0
exp83_zero_steer_r1_seed42_iter100,0,15,1,1,1,1,1,0,7.982388297023135e-07,9.0,200,0,0.1214638501405716,0.032597776502370834,0.1214638501405716,0.0,0.03780094534158707,0
exp83_zero_steer_r1_seed42_iter100,1,0,1,1,1,1,1,0,0.006147636566311121,9.0,202,0,0.12095519155263901,0.03268248587846756,0.12095519155263901,0.0,0.0440196692943573,0
exp83_zero_steer_r1_seed42_iter100,1,1,1,1,1,1,1,0,9.857075156105566e-07,9.0,60,0,0.1237301155924797,0.03451588377356529,0.1237301155924797,0.0,0.038117215037345886,0
exp83_zero_steer_r1_seed42_iter100,1,2,1,1,1,1,1,0,3.732944264811522e-07,9.0,44,0,0.11998306959867477,0.030021946877241135,0.11998306959867477,0.0,0.03383956104516983,0
