idx,x,y,tx,ty,s_norm
0,-2.1850340366363525,-0.01370592787861824,0.9961006045341492,0.0863320454955101,0.0
1,-2.1790037155151367,-0.013183279894292355,0.986636221408844,0.16175448894500732,0.005466516595333815
2,-2.173872947692871,-0.012342114001512527,0.9700110554695129,0.24215121567249298,0.010162071324884892
3,-2.16947865486145,-0.011245133355259895,0.9472470283508301,0.31973040103912354,0.01425243355333805
4,-2.165656566619873,-0.009955039247870445,0.9229869246482849,0.38412806391716003,0.017895566299557686
5,-2.162243366241455,-0.008534535765647888,0.9048527479171753,0.4250534474849701,0.02123439311981201
6,-2.1590752601623535,-0.007046321872621775,0.8999688029289246,0.43528521060943604,0.024395527318120003
7,-2.1559879779815674,-0.005553105380386114,0.9106759428977966,0.41242554783821106,0.027492715045809746
8,-2.152818202972412,-0.004117582459002733,0.9329590797424316,0.35922306776046753,0.03063528798520565
9,-2.149402618408203,-0.002802458591759205,0.9586704969406128,0.28363698720932007,0.03394072502851486
10,-2.1455764770507812,-0.0016704375157132745,0.9800950288772583,0.19740425050258636,0.03754425421357155
11,-2.141176462173462,-0.0007842156919650733,0.9935452342033386,0.11171966791152954,0.04159779101610184
12,-2.1360387802124023,-0.0002065065928036347,0.9992504715919495,0.034171756356954575,0.04626697301864624
13,-2.130000114440918,0.0,0.0,0.0,0.051723796874284744
14,-2.130000114440918,0.0,0.9999942779541016,0.0,0.051723796874284744
15,-1.9550001621246338,0.0,0.9999942779541016,0.0,0.20976963639259338
16,-1.7799999713897705,0.0,0.9999942779541016,0.0,0.36781570315361023
17,-1.6050000190734863,0.0,0.9999942779541016,0.0,0.5258615612983704
18,-1.4300000667572021,0.0,0.9999942779541016,0.0,0.6839073896408081
19,-1.255000114440918,0.0,0.9999942779541016,0.0,0.8419532179832458
20,-1.0800000429153442,0.0,0.9999942779541016,0.0,0.9999991655349731
