idx,x,y,tx,ty,s_norm
0,-2.1350340843200684,-0.01370592787861824,0.9762155413627625,0.21355949342250824,0.0
1,-2.1336355209350586,-0.013399974443018436,0.7889038324356079,0.6130774021148682,0.0013414586428552866
2,-2.1327428817749023,-0.012706281617283821,0.4280432462692261,0.9027688503265381,0.0024007416795939207
3,-2.1322641372680664,-0.011696580797433853,0.12366829067468643,0.9915267825126648,0.0034478020388633013
4,-2.132107734680176,-0.010442602448165417,-0.05137283727526665,0.9979789853096008,0.004631896037608385
5,-2.132181167602539,-0.00901607982814312,-0.1369122415781021,0.9899288415908813,0.005970331374555826
6,-2.132392406463623,-0.007488740608096123,-0.16282272338867188,0.9860132336616516,0.007415086030960083
7,-2.1326494216918945,-0.005932321306318045,-0.13780918717384338,0.9897986054420471,0.008893216960132122
8,-2.1328601837158203,-0.004418547265231609,-0.05185665935277939,0.9979404807090759,0.010325320065021515
9,-2.1329329013824463,-0.0030191531404852867,0.1287040114402771,0.9908595085144043,0.011638334952294827
10,-2.13277530670166,-0.0018058717250823975,0.4484504759311676,0.8927621841430664,0.012784741818904877
11,-2.1322953701019287,-0.0008504278375767171,0.8186195492744446,0.5727413892745972,0.013786601833999157
12,-2.1314008235931396,-0.00022456467559095472,0.9866954684257507,0.15818911790847778,0.014809582382440567
13,-2.130000114440918,0.0,0.0,0.0,0.016138821840286255
14,-2.130000114440918,0.0,0.9999942779541016,0.0,0.016138821840286255
15,-1.9550001621246338,0.0,0.9999942779541016,0.0,0.1801154762506485
16,-1.7799999713897705,0.0,0.9999942779541016,0.0,0.34409236907958984
17,-1.6050000190734863,0.0,0.9999942779541016,0.0,0.5080689787864685
18,-1.4300000667572021,0.0,0.9999942779541016,0.0,0.6720456480979919
19,-1.255000114440918,0.0,0.9999942779541016,0.0,0.8360223174095154
20,-1.0800000429153442,0.0,0.9999942779541016,0.0,0.9999991059303284
