idx,x,y,tx,ty,s_norm
0,-2.433298110961914,0.07999999821186066,0.9991564750671387,-0.04033203050494194,0.0
1,-2.399921178817749,0.07865270227193832,0.9913298487663269,-0.1311308890581131,0.024420715868473053
2,-2.371567487716675,0.07490213960409164,0.9732664227485657,-0.2295040339231491,0.04532978683710098
3,-2.3473236560821533,0.06918524950742722,0.9454890489578247,-0.3255157470703125,0.06353981047868729
4,-2.3262763023376465,0.06193900480866432,0.9137856364250183,-0.4060768485069275,0.07981327176094055
5,-2.307512044906616,0.05360036343336105,0.8882340788841248,-0.45927995443344116,0.09482478350400925
6,-2.2901177406311035,0.044606275856494904,0.8784180283546448,-0.47778454422950745,0.10914059728384018
7,-2.2731802463531494,0.03539372235536575,0.8882315158843994,-0.4592849314212799,0.12323620915412903
8,-2.255786180496216,0.026399634778499603,0.9137855768203735,-0.40607699751853943,0.13755187392234802
9,-2.2370219230651855,0.018060989677906036,0.945489227771759,-0.325515478849411,0.15256337821483612
10,-2.2159745693206787,0.01081475242972374,0.9732662439346313,-0.22950461506843567,0.1688368320465088
11,-2.1917307376861572,0.00509784696623683,0.9913299083709717,-0.13113023340702057,0.1870468556880951
12,-2.163377046585083,0.0013473033905029297,0.9991564750671387,-0.04033225402235985,0.20795591175556183
13,-2.130000114440918,0.0,0.0,0.0,0.23237663507461548
14,-2.130000114440918,0.0,0.9999942779541016,0.0,0.23237663507461548
15,-1.9550001621246338,0.0,0.9999942779541016,0.0,0.3603137135505676
16,-1.7799999713897705,0.0,0.9999942779541016,0.0,0.4882509410381317
17,-1.6050000190734863,0.0,0.9999942779541016,0.0,0.6161879897117615
18,-1.4300000667572021,0.0,0.9999942779541016,0.0,0.7441250681877136
19,-1.255000114440918,0.0,0.9999942779541016,0.0,0.8720621466636658
20,-1.0800000429153442,0.0,0.9999942779541016,0.0,0.9999992847442627
