idx,x,y,tx,ty,s_norm
0,-2.433298110961914,0.0,0.9999692440032959,0.0,0.0
1,-2.4008562564849854,0.0,0.9999641180038452,0.0,0.023972421884536743
2,-2.37296986579895,0.0,0.9999585747718811,0.0,0.04457865282893181
3,-2.348811149597168,0.0,0.9999529719352722,0.0,0.06243037059903145
4,-2.3275511264801025,0.0,0.9999479055404663,0.0,0.07814014703035355
5,-2.308361768722534,0.0,0.999944269657135,0.0,0.09231983125209808
6,-2.2904155254364014,0.0,0.99994295835495,0.0,0.10558094084262848
7,-2.2728826999664307,0.0,0.999944269657135,0.0,0.1185365617275238
8,-2.2549362182617188,0.0,0.9999479055404663,0.0,0.13179785013198853
9,-2.2357473373413086,0.0,0.9999529719352722,0.0,0.145977184176445
10,-2.214487314224243,0.0,0.9999585747718811,0.0,0.1616869568824768
11,-2.190328359603882,0.0,0.9999641180038452,0.0,0.17953884601593018
12,-2.1624419689178467,0.0,0.9999692440032959,0.0,0.20014508068561554
13,-2.130000114440918,0.0,0.0,0.0,0.22411750257015228
14,-2.130000114440918,0.0,0.9999942779541016,0.0,0.22411750257015228
15,-1.9550001621246338,0.0,0.9999942779541016,0.0,0.3534310758113861
16,-1.7799999713897705,0.0,0.9999942779541016,0.0,0.48274484276771545
17,-1.6050000190734863,0.0,0.9999942779541016,0.0,0.6120584607124329
18,-1.4300000667572021,0.0,0.9999942779541016,0.0,0.7413720488548279
19,-1.255000114440918,0.0,0.9999942779541016,0.0,0.8706856369972229
20,-1.0800000429153442,0.0,0.9999942779541016,0.0,0.9999992847442627
