idx,vehicle_x,vehicle_y,vehicle_yaw_deg,fork_x,fork_y,fork_yaw_deg
0,-3.45,-0.15,-6.000000000000001,-2.186957192882293,-0.2827511483499199,-6.000000000000001
1,-3.479906366607251,-0.14767919884838945,-2.8747756629227834,-2.211504618648552,-0.211373827941567,-2.8747756629227834
2,-3.5098947818254427,-0.1469922968656201,0.2504486741544336,-2.2399069147428947,-0.1414409490004282,0.2504486741544336
3,-3.539876046042244,-0.14794133722036654,3.37567301123165,-2.272079599415201,-0.073160524709106,3.37567301123165
4,-3.569760980915756,-0.15052349702148515,6.500897348308868,-2.307926976011297,-0.00673565307502319,6.500897348308868
5,-3.599460694632729,-0.1547310957146165,9.626121685386087,-2.347342417619682,0.05763608717831034,9.626121685386087
6,-3.6288868463145056,-0.16055161792775635,12.751346022463306,-2.3902086842299815,0.11976322430309155,12.751346022463306
7,-3.657951908784231,-0.16796775069784237,15.876570359540523,-2.4363982714597237,0.17946096305400827,15.876570359540523
8,-3.686569428913729,-0.1769574349676259,19.00179469661774,-2.485773789812176,0.23655173435597365,19.00179469661774
9,-3.7146542847756527,-0.1874939311996554,22.127019033694964,-2.53818837333715,0.2908657234778404,22.127019033694964
10,-3.7421229388360233,-0.19954589891220206,25.252243370772177,-2.593486116479219,0.342241375141059,25.252243370772177
11,-3.7688936864340383,-0.21307748990055195,28.3774677078494,-2.651502537813969,0.3905258740608518,28.3774677078494
12,-3.794886898810051,-0.22804845486638103,31.502692044926615,-2.7120650692928963,0.4355755994905435,31.502692044926615
13,-3.8200252599588547,-0.2444142631380464,34.627916382003825,-2.7749935695417274,0.4772565524170247,34.627916382003825
14,-3.844233996603742,-0.26212623512569,37.75314071908105,-2.8401008596853554,0.5154447541366669,37.75314071908105
15,-3.8674411006073033,-0.28113168711717085,40.87836505615827,-2.907193280105609,0.5500266150261367,40.87836505615827
16,-3.889577543157399,-0.3013740879841357,44.00358939323549,-2.976071266475787,0.5808992724112115,44.00358939323549
17,-3.910577480091226,-0.3227932273321089,47.12881373031271,-3.0465299433585704,0.6079708965286198,47.12881373031271
18,-3.9230488195500874,-0.3366935347297215,49.07435161702313,-3.091098356262828,0.6228680456996506,49.07435161702313
19,-3.904024222376077,-0.3135021228710351,52.199575954100354,-3.125624837380693,0.6899889819419616,52.199575954100354
20,-3.8862922781684723,-0.2893080112681886,55.32480029117757,-3.1637592963287524,0.7551277647150948,55.32480029117757
21,-3.8699057300461646,-0.26418316455685753,58.45002462825478,-3.2053883033398822,0.8180906407270274,58.45002462825478
22,-3.8693034921514826,-0.2632000135034465,58.570131451961686,-3.2070562506048947,0.8204644138281585,58.570131451961686
23,-3.8529696481936284,-0.2380408715627312,55.444907114884465,-3.132627660711207,0.8079072251752831,55.444907114884465
24,-3.835288460045606,-0.2138096423882377,52.31968277780725,-3.058994361560263,0.7913109835352525,52.31968277780725
25,-3.816312519853979,-0.19057840102070894,49.19445844073004,-2.9863753731199787,0.7707250539148418,49.19445844073004
26,-3.796098270965165,-0.16841624806812566,46.06923410365282,-2.9149866983224726,0.746210668524165,46.06923410365282
27,-3.774705840036454,-0.14738910416808756,42.9440097665756,-2.8450406805700372,0.7178407446433607,42.9440097665756
28,-3.7521988581911234,-0.1275595139089187,39.81878542949838,-2.776745372126262,0.6856996677324011,39.81878542949838
29,-3.728644271749634,-0.10898645979272631,36.69356109242116,-2.7103039152710195,0.6498830404291549,36.69356109242116
30,-3.704112143099876,-0.09172518679377509,33.56833675534394,-2.6459139380600467,0.6104973981823018,33.56833675534394
31,-3.6786754422987626,-0.0758270380340221,30.443112418266722,-2.5837669664864125,0.5676598923649384,30.443112418266722
32,-3.652409830025057,-0.06133930206459055,27.317888081189505,-2.5240478547923835,0.5214979418114499,27.317888081189505
33,-3.6253934325290267,-0.0483050722074391,24.192663744112284,-2.466934235626203,0.4721488538141305,24.192663744112284
34,-3.5977066092483296,-0.036763118375610235,21.067439407035067,-2.412595991679283,0.41975941570689623,21.067439407035067
35,-3.56943171378136,-0.02674777175332453,17.942215069957847,-2.3611947503753994,0.3644854582509064,17.942215069957847
36,-3.5406528489290157,-0.018288822678936764,14.81699073288063,-2.312883403114923,0.3064913921207897,14.81699073288063
37,-3.511455616533524,-0.011411432034496571,11.691766395803413,-2.267805650504088,0.24594971887018513,11.691766395803413
38,-3.4819268628584124,-0.006136056405484341,8.566542058726194,-2.2260955749219846,0.18304051783121236,8.566542058726194
39,-3.4521544202669876,-0.0024783872333312418,5.441317721648977,-2.187877241696679,0.11795091047407597,5.441317721648977
40,-3.4222268459676917,-0.00044930414171243105,2.31609338457176,-2.153264330076736,0.05087450382004701,2.31609338457176
41,-3.4000000000000004,-4.440892098500626e-16,7.951386703658792e-16,-2.1300000000000003,-4.2646441933413826e-16,7.951386703658792e-16
