idx,vehicle_x,vehicle_y,vehicle_yaw_deg,fork_x,fork_y,fork_yaw_deg
0,-3.45,-0.15,-6.000000000000001,-2.186957192882293,-0.2827511483499199,-6.000000000000001
1,-3.4446982776916806,-0.15045024573172364,-3.6165384345767317,-2.177227403495438,-0.2305600645070356,-3.6165384345767317
2,-3.4398337865246704,-0.150644939904391,-0.8575330000503586,-2.1699760266207746,-0.1696520336290913,-0.8575330000503586
3,-3.4353921752130923,-0.15059215903870765,2.350419430440402,-2.166460635273398,-0.09850812169254852,2.350419430440402
4,-3.4313590924710646,-0.1502999796553791,6.0925017839380295,-2.1685322528209605,-0.015509872231541239,6.0925017839380295
5,-3.42772018701271,-0.14977647827511098,10.462717755190761,-2.1788361218255865,0.08085004171269064,10.462717755190761
6,-3.424461107552147,-0.14902973141860879,15.555294217097844,-2.20097853826714,0.19154390622200082,15.555294217097844
7,-3.421567502803499,-0.14806781560657808,21.446734031399515,-2.2395049827745517,0.3162900191962983,21.446734031399515
8,-3.4190250214808846,-0.14689880735972446,28.165578600336357,-2.2994092955171066,0.45256814433536474,28.165578600336357
9,-3.4168193122984247,-0.14553078319875343,35.65255368587509,-2.384859888278384,0.5947122493089667,35.65255368587509
10,-3.4149360239702413,-0.14397181964437059,43.72628308621319,-2.497170341270584,0.7338699381108821,43.72628308621319
11,-3.4133608052104534,-0.14222999321728147,52.08224557972355,-2.6329081033212836,0.8596650013374847,52.08224557972355
12,-3.412079304733182,-0.14031338043819164,60.34547235645942,-2.7837225099872054,0.9633476809826426,60.34547235645942
13,-3.4110771712525483,-0.1382300578278066,68.16117638863585,-2.938641118285508,1.04062709036994,68.16117638863585
14,-3.4103400534826727,-0.13598810190683197,75.27398130346529,-3.0875096523795262,1.0922954696366376,75.27398130346529
15,-3.4098536001376756,-0.1335955891959733,81.55699619504733,-3.2233852232697133,1.1226406721928737,81.55699619504733
16,-3.409603459931678,-0.13106059621593613,86.99294203428748,-3.3429805657897234,1.137190715621016,86.99294203428748
17,-3.4095752815788,-0.128391199487426,91.63463376096776,-3.445803137840114,1.1410919797751862,91.63463376096776
18,-3.4097547137931636,-0.1255954755311485,95.56823403339088,-3.5329842236337003,1.138411837701042,95.56823403339088
19,-3.4101274052888884,-0.12268150086780916,98.88840057730013,-3.606355578383546,1.1320672803963663,98.88840057730013
20,-3.4106790047800954,-0.11965735201811355,101.68478702670748,-3.667888661079193,1.124023954710624,101.68478702670748
21,-3.4113951609809043,-0.11653110550276721,104.03624346792655,-3.7194154047770485,1.115549869681804,104.03624346792655
22,-3.4122615226054367,-0.11331083784247573,106.00933399091227,-3.76251983938354,1.1074344720103904,106.00933399091227
