idx,x,y,tx,ty,s_norm
0,-2.1402370929718018,0.01759357750415802,0.9857801795005798,-0.16746720671653748,0.0
1,-2.129971504211426,0.015849629417061806,-0.14012454450130463,-0.9895817637443542,0.00752518605440855
2,-2.13022780418396,0.014039598405361176,-0.9790123701095581,-0.20325815677642822,0.008846335113048553
3,-2.139091968536377,0.012199260294437408,-0.993053138256073,-0.11712329089641571,0.015389032661914825
4,-2.154649257659912,0.010364392772316933,-0.9960842728614807,-0.08785217255353928,0.026710141450166702
5,-2.174985647201538,0.008570773527026176,-0.9972311854362488,-0.07378319650888443,0.04146420583128929
6,-2.1981866359710693,0.006854177452623844,-0.9977611899375916,-0.06625719368457794,0.05827728286385536
7,-2.2223379611968994,0.005250387825071812,-0.9979934096336365,-0.06263355910778046,0.07576976716518402
8,-2.2455251216888428,0.0037951734848320484,-0.997998833656311,-0.062450166791677475,0.09255998581647873
9,-2.265834331512451,0.0025243167765438557,-0.9976509213447571,-0.06755830347537994,0.10726606845855713
10,-2.281350612640381,0.0014735949225723743,-0.995841920375824,-0.08984912186861038,0.11850529164075851
11,-2.2901599407196045,0.0006787796737626195,-0.3491732180118561,-0.935074508190155,0.12489760667085648
12,-2.2903478145599365,0.00017565969028510153,0.999759316444397,-0.016971401870250702,0.12528572976589203
13,-2.2799999713897705,0.0,0.0,0.0,0.13276514410972595
14,-2.2799999713897705,0.0,0.9999949932098389,0.0,0.13276514410972595
15,-2.0799999237060547,0.0,0.9999949932098389,0.0,0.2773042321205139
16,-1.8799998760223389,0.0,0.9999949932098389,0.0,0.4218433201313019
17,-1.6800000667572021,0.0,0.9999949932098389,0.0,0.5663822293281555
18,-1.4800000190734863,0.0,0.9999949932098389,0.0,0.7109212875366211
19,-1.28000009059906,0.0,0.9999949932098389,0.0,0.8554602265357971
20,-1.0800000429153442,0.0,0.9999949932098389,0.0,0.9999992847442627
