idx,x,y,tx,ty,s_norm
0,-2.1350340843200684,0.01370592787861824,0.995708703994751,-0.09152831882238388,0.0
1,-2.1243722438812256,0.012725861743092537,-0.21016089618206024,-0.9767998456954956,0.00770645821467042
2,-2.124620199203491,0.011573398485779762,-0.9902825951576233,-0.1382916420698166,0.008554952219128609
3,-2.1337947845458984,0.010292179882526398,-0.9963638782501221,-0.0844707116484642,0.015222650952637196
4,-2.1499111652374268,0.008925849571824074,-0.9977290034294128,-0.0666491836309433,0.026864400133490562
5,-2.170985698699951,0.007518052123486996,-0.9982547760009766,-0.05834683030843735,0.04206708446145058
6,-2.1950345039367676,0.0061124274507164955,-0.9984887838363647,-0.05422490835189819,0.059406306594610214
7,-2.220073699951172,0.004752624314278364,-0.9985659122467041,-0.052755147218704224,0.07745540142059326
8,-2.244119167327881,0.0034822802990674973,-0.9984989166259766,-0.053899411112070084,0.09478680789470673
9,-2.2651867866516113,0.0023450409062206745,-0.9981646537780762,-0.059526462107896805,0.10997278243303299
10,-2.281292676925659,0.001384551404044032,-0.9966434240341187,-0.08052559942007065,0.12158595770597458
11,-2.290452718734741,0.0006444493192248046,-0.4350425601005554,-0.8983137607574463,0.12820059061050415
12,-2.2906832695007324,0.0001683880400378257,0.9997822046279907,-0.015758369117975235,0.12858131527900696
13,-2.2799999713897705,0.0,0.0,0.0,0.13627181947231293
14,-2.2799999713897705,0.0,0.9999949932098389,0.0,0.13627181947231293
15,-2.0799999237060547,0.0,0.9999949932098389,0.0,0.2802264392375946
16,-1.8799998760223389,0.0,0.9999949932098389,0.0,0.4241810441017151
17,-1.6800000667572021,0.0,0.9999949932098389,0.0,0.5681354999542236
18,-1.4800000190734863,0.0,0.9999949932098389,0.0,0.7120901346206665
19,-1.28000009059906,0.0,0.9999949932098389,0.0,0.8560447096824646
20,-1.0800000429153442,0.0,0.9999949932098389,0.0,0.9999992847442627
