idx,x,y,tx,ty,s_norm
0,-2.1350340843200684,0.06629407405853271,0.9996064305305481,-0.024879412725567818,0.0
1,-2.123131036758423,0.06599781662225723,0.1443743109703064,-0.9891310930252075,0.008446922525763512
2,-2.1227588653564453,0.06344801187515259,-0.8991992473602295,-0.4373125433921814,0.010274982079863548
3,-2.1318206787109375,0.05904093012213707,-0.9414846301078796,-0.336885541677475,0.01742359809577465
4,-2.1482200622558594,0.05317284166812897,-0.9522780776023865,-0.30508747696876526,0.029780089855194092
5,-2.1698596477508545,0.046240027993917465,-0.9560052752494812,-0.29321810603141785,0.04590034484863281
6,-2.1946427822113037,0.03863874822854996,-0.956512451171875,-0.29156458377838135,0.06429048627614975
7,-2.220472574234009,0.030765298753976822,-0.9543784260749817,-0.2984708249568939,0.0834471583366394
8,-2.2452516555786133,0.023015927523374557,-0.9484000205993652,-0.3169381022453308,0.10186563432216644
9,-2.266883611679077,0.015786919742822647,-0.9331147074699402,-0.3594202697277069,0.1180460974574089
10,-2.283271551132202,0.00947455782443285,-0.8751543164253235,-0.4836439788341522,0.13050472736358643
11,-2.292318105697632,0.004475083202123642,0.11818461865186691,-0.9926877617835999,0.13783740997314453
12,-2.291926383972168,0.0011848296271637082,0.995018482208252,-0.09885012358427048,0.1401880830526352
13,-2.2799999713897705,0.0,0.0,0.0,0.1486906111240387
14,-2.2799999713897705,0.0,0.9999949932098389,0.0,0.1486906111240387
15,-2.0799999237060547,0.0,0.9999949932098389,0.0,0.29057544469833374
16,-1.8799998760223389,0.0,0.9999949932098389,0.0,0.4324602484703064
17,-1.6800000667572021,0.0,0.9999949932098389,0.0,0.5743449330329895
18,-1.4800000190734863,0.0,0.9999949932098389,0.0,0.7162297368049622
19,-1.28000009059906,0.0,0.9999949932098389,0.0,0.85811448097229
20,-1.0800000429153442,0.0,0.9999949932098389,0.0,0.9999993443489075
