idx,x,y,tx,ty,s_norm
0,-2.1350340843200684,-0.14629407227039337,0.996153712272644,0.08691439032554626,0.0
1,-2.1189420223236084,-0.14489004015922546,0.37270745635032654,0.9277860522270203,0.010980497114360332
2,-2.116476535797119,-0.13875266909599304,-0.6545671224594116,0.7559041380882263,0.015476561151444912
3,-2.125159740447998,-0.12872517108917236,-0.7986600399017334,0.6017059087753296,0.024493448436260223
4,-2.1425137519836426,-0.11565075814723969,-0.838851809501648,0.5442944169044495,0.03926347941160202
5,-2.166059970855713,-0.10037264227867126,-0.8535462617874146,0.5209570527076721,0.05834373086690903
6,-2.1933209896087646,-0.08373403549194336,-0.8567050695419312,0.5157483220100403,0.08005399256944656
7,-2.221818447113037,-0.06657817214727402,-0.8508322238922119,0.5253781676292419,0.10266527533531189
8,-2.2490739822387695,-0.04974822327494621,-0.8325129151344299,0.5539417266845703,0.12444040924310684
9,-2.2726104259490967,-0.034087423235177994,-0.7857337594032288,0.6184915900230408,0.14365796744823456
10,-2.289949417114258,-0.020439008250832558,-0.6259101033210754,0.7798025012016296,0.1586580127477646
11,-2.298612356185913,-0.009646114893257618,0.3311518132686615,0.9434365630149841,0.16806574165821075
12,-2.2961223125457764,-0.0025520927738398314,0.9876413941383362,0.1563391089439392,0.17317651212215424
13,-2.2799999713897705,0.0,0.0,0.0,0.18427249789237976
14,-2.2799999713897705,0.0,0.9999949932098389,0.0,0.18427249789237976
15,-2.0799999237060547,0.0,0.9999949932098389,0.0,0.3202270269393921
16,-1.8799998760223389,0.0,0.9999949932098389,0.0,0.45618152618408203
17,-1.6800000667572021,0.0,0.9999949932098389,0.0,0.5921358466148376
18,-1.4800000190734863,0.0,0.9999949932098389,0.0,0.7280904054641724
19,-1.28000009059906,0.0,0.9999949932098389,0.0,0.8640448451042175
20,-1.0800000429153442,0.0,0.9999949932098389,0.0,0.9999993443489075
