label,mode,rep,seed,grid_x_root,grid_y_m,grid_yaw_deg,init_x_root_actual,init_y_root_actual,init_yaw_deg_actual,success,ever_inserted,ever_inserted_push_free,ever_hold_entry,ever_clean_insert_ready,ever_dirty_insert,timeout,episode_length,max_pallet_disp_xy,max_hold_counter,min_dist_front,mean_abs_drive_raw,mean_abs_steer_raw,max_abs_steer_raw
exp83_stage1_v2_seed42_iter50,zero_steer,0,20260327,-3.4,-0.15,-6.0,-3.4000000953674316,-0.15000000596046448,-6.000000166965211,0,0,0,0,0,0,1,1079,3.7939722537994385,0.0,0.04891955852508545,0.27469807863235474,0.03525044769048691,0.03688400611281395
exp83_stage1_v2_seed42_iter50,zero_steer,0,20260327,-3.4,-0.1,-6.0,-3.4000000953674316,-0.10000000149011612,-6.000000166965211,0,0,0,0,0,0,1,1079,3.9661455154418945,0.0,0.04858040809631348,0.27470922470092773,0.03526350110769272,0.036765921860933304
exp83_stage1_v2_seed42_iter50,zero_steer,0,20260327,-3.4,-0.05,-6.0,-3.4000000953674316,-0.05000000074505806,-6.000000166965211,0,0,0,0,0,0,1,1079,4.400543212890625,0.0,0.048895835876464844,0.2747175395488739,0.035271067172288895,0.03678375482559204
exp83_stage1_v2_seed42_iter50,zero_steer,0,20260327,-3.4,0.0,-6.0,-3.4000000953674316,0.0,-6.000000166965211,0,0,0,0,0,0,1,1079,5.4744367599487305,0.0,0.046752095222473145,0.2747427821159363,0.03529244661331177,0.036850474774837494
exp83_stage1_v2_seed42_iter50,zero_steer,0,20260327,-3.4,0.05,-6.0,-3.4000000953674316,0.05000000074505806,-6.000000166965211,0,0,0,0,0,0,1,1079,8.102304458618164,0.0,0.0,0.27491438388824463,0.03541120886802673,0.036834701895713806
exp83_stage1_v2_seed42_iter50,zero_steer,0,20260327,-3.4,0.1,-6.0,-3.4000000953674316,0.10000000149011612,-6.000000166965211,0,0,0,0,0,0,1,1079,8.422958374023438,0.0,0.013878703117370605,0.27473244071006775,0.03529198095202446,0.03713798150420189
exp83_stage1_v2_seed42_iter50,zero_steer,0,20260327,-3.4,0.15,-6.0,-3.4000000953674316,0.15000000596046448,-6.000000166965211,0,1,0,0,0,1,1,1079,0.10161299258470535,0.0,0.0,0.2733880281448364,0.03474104031920433,0.03692295029759407
exp83_stage1_v2_seed42_iter50,zero_steer,0,20260327,-3.4,-0.15,-4.0,-3.4000000953674316,-0.15000000596046448,-3.9999995421277097,0,0,0,0,0,0,1,1079,6.144920825958252,0.0,0.03695511817932129,0.27471470832824707,0.035294197499752045,0.03690294548869133
exp83_stage1_v2_seed42_iter50,zero_steer,0,20260327,-3.4,-0.1,-4.0,-3.4000000953674316,-0.10000000149011612,-3.9999995421277097,0,0,0,0,0,0,1,1079,7.027924060821533,0.0,0.031717777252197266,0.27467530965805054,0.03528565540909767,0.03686179220676422
exp83_stage1_v2_seed42_iter50,zero_steer,0,20260327,-3.4,-0.05,-4.0,-3.4000000953674316,-0.05000000074505806,-3.9999995421277097,0,0,0,0,0,0,1,1079,8.006436347961426,0.0,0.04007315635681152,0.27483001351356506,0.035332776606082916,0.036828912794589996
