label,mode,rep,seed,grid_x_root,grid_y_m,grid_yaw_deg,init_x_root_actual,init_y_root_actual,init_yaw_deg_actual,success,ever_inserted,ever_inserted_push_free,ever_hold_entry,ever_clean_insert_ready,ever_dirty_insert,timeout,episode_length,max_pallet_disp_xy,max_hold_counter,min_dist_front,mean_abs_drive_raw,mean_abs_steer_raw,max_abs_steer_raw
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,-0.15,-6.0,-3.4000000953674316,-0.15000000596046448,-6.000000166965211,0,0,0,0,0,0,1,1079,3.9224295616149902,0.0,0.04890131950378418,0.4970029890537262,0.018312055617570877,0.019545510411262512
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,-0.1,-6.0,-3.4000000953674316,-0.10000000149011612,-6.000000166965211,0,0,0,0,0,0,1,1079,4.0349626541137695,0.0,0.04840648174285889,0.4970467984676361,0.01830439269542694,0.019740235060453415
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,-0.05,-6.0,-3.4000000953674316,-0.05000000074505806,-6.000000166965211,0,0,0,0,0,0,1,1079,4.459806442260742,0.0,0.04836559295654297,0.4970099627971649,0.018305212259292603,0.019457615911960602
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,0.0,-6.0,-3.4000000953674316,0.0,-6.000000166965211,0,0,0,0,0,0,1,1079,5.778331279754639,0.0,0.04704165458679199,0.49722203612327576,0.018263529986143112,0.019231289625167847
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,0.05,-6.0,-3.4000000953674316,0.05000000074505806,-6.000000166965211,0,0,0,0,0,0,1,1079,8.605146408081055,0.0,0.013856887817382812,0.4981251060962677,0.018663115799427032,0.019478872418403625
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,0.1,-6.0,-3.4000000953674316,0.10000000149011612,-6.000000166965211,0,0,0,0,0,0,1,1079,8.588685035705566,0.0,0.014004230499267578,0.49741870164871216,0.018451228737831116,0.019411738961935043
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,0.15,-6.0,-3.4000000953674316,0.15000000596046448,-6.000000166965211,0,1,0,0,0,1,1,1079,0.105552077293396,0.0,0.0,0.4955936372280121,0.016422322019934654,0.019076623022556305
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,-0.15,-4.0,-3.4000000953674316,-0.15000000596046448,-3.9999995421277097,0,0,0,0,0,0,1,1079,4.8681559562683105,0.0,0.03686368465423584,0.4971331059932709,0.018311306834220886,0.019646212458610535
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,-0.1,-4.0,-3.4000000953674316,-0.10000000149011612,-3.9999995421277097,0,0,0,0,0,0,1,1079,8.542659759521484,0.0,0.01390695571899414,0.49741411209106445,0.018529929220676422,0.019940681755542755
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,-0.05,-4.0,-3.4000000953674316,-0.05000000074505806,-3.9999995421277097,0,0,0,0,0,0,1,1079,8.549436569213867,0.0,0.013877511024475098,0.49808675050735474,0.01867925375699997,0.019803494215011597
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,0.0,-4.0,-3.4000000953674316,0.0,-3.9999995421277097,0,0,0,0,0,0,1,1079,8.548654556274414,0.0,0.013905763626098633,0.49775058031082153,0.01870821975171566,0.019720859825611115
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,0.05,-4.0,-3.4000000953674316,0.05000000074505806,-3.9999995421277097,0,1,0,0,0,1,1,1079,0.3324472904205322,0.0,0.0,0.49579286575317383,0.01644480973482132,0.019191820174455643
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,0.1,-4.0,-3.4000000953674316,0.10000000149011612,-3.9999995421277097,1,1,1,1,1,0,0,162,0.00321325846016407,9.0,0.0,0.49779966473579407,0.018010186031460762,0.019251622259616852
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,0.15,-4.0,-3.4000000953674316,0.15000000596046448,-3.9999995421277097,1,1,1,1,1,0,0,162,0.0005174170364625752,9.0,0.0,0.49773794412612915,0.018100125715136528,0.01941777393221855
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,-0.15,-2.0,-3.4000000953674316,-0.15000000596046448,-1.9999997710638548,0,0,0,0,0,0,1,1079,8.636380195617676,0.0,0.013921022415161133,0.49764496088027954,0.018644891679286957,0.019476652145385742
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,-0.1,-2.0,-3.4000000953674316,-0.10000000149011612,-1.9999997710638548,0,0,0,0,0,0,1,1079,8.646869659423828,0.0,0.01389920711517334,0.4979892373085022,0.018837125971913338,0.019612468779087067
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,-0.05,-2.0,-3.4000000953674316,-0.05000000074505806,-1.9999997710638548,0,1,0,0,0,1,1,1079,0.3812776803970337,0.0,0.0,0.4962429702281952,0.016566604375839233,0.01895669847726822
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,0.0,-2.0,-3.4000000953674316,0.0,-1.9999997710638548,1,1,1,1,1,0,0,159,0.0014896865468472242,9.0,0.0,0.497428834438324,0.018013838678598404,0.018848221749067307
exp83_stage1_v2_seed43_iter50,normal,0,20260327,-3.4,0.05,-2.0,-3.4000000953674316,0.05000000074505806,-1.9999997710638548,1,1,1,1,1,0,0,162,0.0005307366955094039,9.0,0.0,0.4975006580352783,0.01815790683031082,0.0192965567111969
