label,mode,rep,seed,grid_x_root,grid_y_m,grid_yaw_deg,init_x_root_actual,init_y_root_actual,init_yaw_deg_actual,success,ever_inserted,ever_inserted_push_free,ever_hold_entry,ever_clean_insert_ready,ever_dirty_insert,timeout,episode_length,max_pallet_disp_xy,max_hold_counter,min_dist_front,mean_abs_drive_raw,mean_abs_steer_raw,max_abs_steer_raw
exp83_stage1_v2_seed43_iter50,zero_steer,0,20260327,-3.4,-0.15,-6.0,-3.4000000953674316,-0.15000000596046448,-6.000000166965211,0,0,0,0,0,0,1,1079,3.607327461242676,0.0,0.0490337610244751,0.4969462752342224,0.01839493401348591,0.019629549235105515
exp83_stage1_v2_seed43_iter50,zero_steer,0,20260327,-3.4,-0.1,-6.0,-3.4000000953674316,-0.10000000149011612,-6.000000166965211,0,0,0,0,0,0,1,1079,3.890204668045044,0.0,0.04896581172943115,0.4970373809337616,0.018405817449092865,0.019551467150449753
exp83_stage1_v2_seed43_iter50,zero_steer,0,20260327,-3.4,-0.05,-6.0,-3.4000000953674316,-0.05000000074505806,-6.000000166965211,0,0,0,0,0,0,1,1079,4.258463382720947,0.0,0.04884982109069824,0.4968932569026947,0.018380573019385338,0.019449323415756226
exp83_stage1_v2_seed43_iter50,zero_steer,0,20260327,-3.4,0.0,-6.0,-3.4000000953674316,0.0,-6.000000166965211,0,0,0,0,0,0,1,1079,5.04606819152832,0.0,0.048732638359069824,0.49703750014305115,0.01837261952459812,0.020130105316638947
exp83_stage1_v2_seed43_iter50,zero_steer,0,20260327,-3.4,0.05,-6.0,-3.4000000953674316,0.05000000074505806,-6.000000166965211,0,0,0,0,0,0,1,1079,8.19366455078125,0.0,0.049310922622680664,0.4967480003833771,0.01840905100107193,0.019416499882936478
exp83_stage1_v2_seed43_iter50,zero_steer,0,20260327,-3.4,0.1,-6.0,-3.4000000953674316,0.10000000149011612,-6.000000166965211,0,1,0,0,0,1,1,1079,2.849482774734497,0.0,0.0,0.49642646312713623,0.0171797052025795,0.01938243955373764
exp83_stage1_v2_seed43_iter50,zero_steer,0,20260327,-3.4,0.15,-6.0,-3.4000000953674316,0.15000000596046448,-6.000000166965211,0,1,0,0,0,1,1,1079,0.08504126965999603,0.0,0.0,0.4956355094909668,0.016368472948670387,0.019231289625167847
exp83_stage1_v2_seed43_iter50,zero_steer,0,20260327,-3.4,-0.15,-4.0,-3.4000000953674316,-0.15000000596046448,-3.9999995421277097,0,0,0,0,0,0,1,1079,4.927010536193848,0.0,0.03724181652069092,0.4971069097518921,0.018483489751815796,0.01950431615114212
exp83_stage1_v2_seed43_iter50,zero_steer,0,20260327,-3.4,-0.1,-4.0,-3.4000000953674316,-0.10000000149011612,-3.9999995421277097,0,0,0,0,0,0,1,1079,5.24227237701416,0.0,0.03715074062347412,0.49705877900123596,0.018427712842822075,0.01939988136291504
exp83_stage1_v2_seed43_iter50,zero_steer,0,20260327,-3.4,-0.05,-4.0,-3.4000000953674316,-0.05000000074505806,-3.9999995421277097,0,0,0,0,0,0,1,1079,8.610369682312012,0.0,0.01386880874633789,0.49804598093032837,0.018742302432656288,0.019658111035823822
