label,mode,rep,seed,grid_x_root,grid_y_m,grid_yaw_deg,init_x_root_actual,init_y_root_actual,init_yaw_deg_actual,success,ever_inserted,ever_inserted_push_free,ever_hold_entry,ever_clean_insert_ready,ever_dirty_insert,timeout,episode_length,max_pallet_disp_xy,max_hold_counter,min_dist_front,mean_abs_drive_raw,mean_abs_steer_raw,max_abs_steer_raw
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,-0.1,-4.0,-3.4000000953674316,-0.10000000149011612,-3.9999995421277097,0,0,0,0,0,0,1,1079,6.613646030426025,0.0,0.031435370445251465,0.39159977436065674,0.00681587727740407,0.0071241240948438644
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,-0.05,-4.0,-3.4000000953674316,-0.05000000074505806,-3.9999995421277097,0,0,0,0,0,0,1,1079,8.544368743896484,0.0,0.013838648796081543,0.3923552930355072,0.006751901004463434,0.007025927305221558
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,0.0,-4.0,-3.4000000953674316,0.0,-3.9999995421277097,0,0,0,0,0,0,1,1079,8.566581726074219,0.0,0.013904452323913574,0.3919887840747833,0.00672230776399374,0.006936611607670784
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,0.05,-4.0,-3.4000000953674316,0.05000000074505806,-3.9999995421277097,0,1,0,0,0,1,1,1079,0.3570772111415863,0.0,0.0,0.39045315980911255,0.006571885198354721,0.007142974063754082
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,0.1,-4.0,-3.4000000953674316,0.10000000149011612,-3.9999995421277097,1,1,1,1,1,0,0,164,0.013044745661318302,9.0,0.0,0.39229047298431396,0.006847233045846224,0.007149830460548401
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,-0.1,-2.0,-3.4000000953674316,-0.10000000149011612,-1.9999997710638548,0,0,0,0,0,0,1,1079,8.54763412475586,0.0,0.013927102088928223,0.39174601435661316,0.006750823464244604,0.006968686357140541
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,-0.05,-2.0,-3.4000000953674316,-0.05000000074505806,-1.9999997710638548,0,1,0,0,0,1,1,1079,0.36953163146972656,0.0,0.0,0.39076292514801025,0.00658665644004941,0.007238026708364487
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,0.0,-2.0,-3.4000000953674316,0.0,-1.9999997710638548,1,1,1,1,1,0,0,163,2.2291087589110248e-06,9.0,0.0,0.3921419382095337,0.006815649103373289,0.007120339199900627
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,0.05,-2.0,-3.4000000953674316,0.05000000074505806,-1.9999997710638548,1,1,1,1,1,0,0,163,1.0733687076935894e-06,9.0,0.0,0.39231428503990173,0.006856935564428568,0.007088815793395042
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,0.1,-2.0,-3.4000000953674316,0.10000000149011612,-1.9999997710638548,1,1,1,1,1,0,0,163,9.478412721364293e-06,9.0,0.0,0.39225760102272034,0.006864441558718681,0.007067255675792694
