label,mode,rep,seed,grid_point_index,grid_point_total,grid_x_root,grid_y_m,grid_yaw_deg,init_x_root_actual,init_y_root_actual,init_yaw_deg_actual,success,ever_inserted,ever_inserted_push_free,ever_hold_entry,ever_clean_insert_ready,ever_dirty_insert,timeout,episode_length,max_pallet_disp_xy,max_hold_counter,min_dist_front,mean_abs_drive_raw,mean_abs_steer_raw,mean_steer_raw,max_abs_steer_raw,mean_steer_applied,mean_abs_steer_applied,max_abs_steer_applied,steer_scale,terminated_early
exp83_actor_proprio12_seed42_iter50_recheck3x3_zero,zero_steer,0,20260330,1,9,-3.5,-0.1,-4.0,-3.5,-0.10000000149011612,-3.9999995421277097,0,0,0,0,0,0,1,1079,5.50301456451416,0.0,0.03495228290557861,0.17267510294914246,0.09179849922657013,0.09179849922657013,0.09358453750610352,0.0,0.0,0.0,0.0,0
exp83_actor_proprio12_seed42_iter50_recheck3x3_zero,zero_steer,0,20260330,2,9,-3.5,0.0,-4.0,-3.5,0.0,-3.9999995421277097,0,0,0,0,0,0,1,1079,7.322573184967041,0.0,0.016144394874572754,0.17182259261608124,0.09408558905124664,0.09408558905124664,0.09571179747581482,0.0,0.0,0.0,0.0,0
exp83_actor_proprio12_seed42_iter50_recheck3x3_zero,zero_steer,0,20260330,3,9,-3.5,0.1,-4.0,-3.5,0.10000000149011612,-3.9999995421277097,1,1,1,1,1,0,0,203,0.04287634789943695,9.0,0.0,0.17175745964050293,0.09272585809230804,0.09272585809230804,0.10157328099012375,0.0,0.0,0.0,0.0,0
exp83_actor_proprio12_seed42_iter50_recheck3x3_zero,zero_steer,0,20260330,4,9,-3.5,-0.1,0.0,-3.5,-0.10000000149011612,0.0,0,1,0,0,0,1,1,1079,0.5348765254020691,0.0,0.0,0.17232124507427216,0.09266360849142075,0.09266360849142075,0.09763170778751373,0.0,0.0,0.0,0.0,0
exp83_actor_proprio12_seed42_iter50_recheck3x3_zero,zero_steer,0,20260330,5,9,-3.5,0.0,0.0,-3.5,0.0,0.0,1,1,1,1,1,0,0,197,6.2908700783737e-05,9.0,0.0,0.1697155088186264,0.0967864841222763,0.0967864841222763,0.09771593660116196,0.0,0.0,0.0,0.0,0
exp83_actor_proprio12_seed42_iter50_recheck3x3_zero,zero_steer,0,20260330,6,9,-3.5,0.1,0.0,-3.5,0.10000000149011612,0.0,1,1,0,1,0,1,0,220,0.14836786687374115,9.0,0.0,0.16881975531578064,0.09848649054765701,0.09848649054765701,0.11048763245344162,0.0,0.0,0.0,0.0,0
exp83_actor_proprio12_seed42_iter50_recheck3x3_zero,zero_steer,0,20260330,7,9,-3.5,-0.1,4.0,-3.5,-0.10000000149011612,3.9999995421277097,1,1,1,1,1,1,0,203,0.05325867608189583,9.0,0.0,0.16761377453804016,0.10097500681877136,0.10097500681877136,0.10206742584705353,0.0,0.0,0.0,0.0,0
exp83_actor_proprio12_seed42_iter50_recheck3x3_zero,zero_steer,0,20260330,8,9,-3.5,0.0,4.0,-3.5,0.0,3.9999995421277097,0,0,0,0,0,0,1,1079,7.265897750854492,0.0,0.013846516609191895,0.1684197187423706,0.09934690594673157,0.09934690594673157,0.11103344708681107,0.0,0.0,0.0,0.0,0
exp83_actor_proprio12_seed42_iter50_recheck3x3_zero,zero_steer,0,20260330,9,9,-3.5,0.1,4.0,-3.5,0.10000000149011612,3.9999995421277097,0,0,0,0,0,0,1,1079,7.26380729675293,0.0,0.013837575912475586,0.1684190332889557,0.09969165176153183,0.09969165176153183,0.11136773228645325,0.0,0.0,0.0,0.0,0
