label,mode,rep,seed,grid_point_index,grid_point_total,grid_x_root,grid_y_m,grid_yaw_deg,init_x_root_actual,init_y_root_actual,init_yaw_deg_actual,success,ever_inserted,ever_inserted_push_free,ever_hold_entry,ever_clean_insert_ready,ever_dirty_insert,timeout,episode_length,max_pallet_disp_xy,max_hold_counter,min_dist_front,mean_abs_drive_raw,mean_abs_steer_raw,mean_steer_raw,max_abs_steer_raw,mean_steer_applied,mean_abs_steer_applied,max_abs_steer_applied,steer_scale,terminated_early
exp83_force_steering_curriculum_v2_resume_from_v1_seed42_iter30_recheck3x3_normal,normal,0,20260330,1,9,-3.5,-0.1,-4.0,-3.5,-0.10000000149011612,-3.9999995421277097,0,0,0,0,0,0,1,1079,3.881601095199585,0.0,0.04012870788574219,0.31673672795295715,0.08787281066179276,0.08787281066179276,0.09274822473526001,0.08787281066179276,0.08787281066179276,0.09274822473526001,1.0,0
exp83_force_steering_curriculum_v2_resume_from_v1_seed42_iter30_recheck3x3_normal,normal,0,20260330,2,9,-3.5,0.0,-4.0,-3.5,0.0,-3.9999995421277097,0,0,0,0,0,0,1,1079,8.070481300354004,0.0,0.03816545009613037,0.3169231712818146,0.0876392126083374,0.0876392126083374,0.0939629077911377,0.0876392126083374,0.0876392126083374,0.0939629077911377,1.0,0
exp83_force_steering_curriculum_v2_resume_from_v1_seed42_iter30_recheck3x3_normal,normal,0,20260330,3,9,-3.5,0.1,-4.0,-3.5,0.10000000149011612,-3.9999995421277097,0,1,0,0,0,1,1,1079,0.12235003709793091,0.0,0.0,0.3137297034263611,0.09097261726856232,0.09097261726856232,0.09640438854694366,0.09097261726856232,0.09097261726856232,0.09640438854694366,1.0,0
exp83_force_steering_curriculum_v2_resume_from_v1_seed42_iter30_recheck3x3_normal,normal,0,20260330,4,9,-3.5,-0.1,0.0,-3.5,-0.10000000149011612,0.0,0,1,0,0,0,1,1,1079,0.5243613719940186,0.0,0.0,0.3119499683380127,0.09221016615629196,0.09221016615629196,0.0940728485584259,0.09221016615629196,0.09221016615629196,0.0940728485584259,1.0,0
exp83_force_steering_curriculum_v2_resume_from_v1_seed42_iter30_recheck3x3_normal,normal,0,20260330,5,9,-3.5,0.0,0.0,-3.5,0.0,0.0,1,1,1,1,1,0,0,176,5.785133225799655e-07,9.0,0.0,0.3144731819629669,0.09324108809232712,0.09324108809232712,0.0965903028845787,0.09324108809232712,0.09324108809232712,0.0965903028845787,1.0,0
exp83_force_steering_curriculum_v2_resume_from_v1_seed42_iter30_recheck3x3_normal,normal,0,20260330,6,9,-3.5,0.1,0.0,-3.5,0.10000000149011612,0.0,1,1,1,1,1,0,0,177,0.0062438263557851315,9.0,0.0,0.3144759237766266,0.09393361210823059,0.09393361210823059,0.10034595429897308,0.09393361210823059,0.09393361210823059,0.10034595429897308,1.0,0
exp83_force_steering_curriculum_v2_resume_from_v1_seed42_iter30_recheck3x3_normal,normal,0,20260330,7,9,-3.5,-0.1,4.0,-3.5,-0.10000000149011612,3.9999995421277097,1,1,1,1,1,0,0,177,0.003402427537366748,9.0,0.0,0.3133235275745392,0.09488533437252045,0.09488533437252045,0.09674960374832153,0.09488533437252045,0.09488533437252045,0.09674960374832153,1.0,0
exp83_force_steering_curriculum_v2_resume_from_v1_seed42_iter30_recheck3x3_normal,normal,0,20260330,8,9,-3.5,0.0,4.0,-3.5,0.0,3.9999995421277097,1,1,0,1,0,1,0,745,4.718598365783691,9.0,0.0,0.3161045014858246,0.09312301874160767,0.09312301874160767,0.1002548485994339,0.09312301874160767,0.09312301874160767,0.1002548485994339,1.0,0
exp83_force_steering_curriculum_v2_resume_from_v1_seed42_iter30_recheck3x3_normal,normal,0,20260330,9,9,-3.5,0.1,4.0,-3.5,0.10000000149011612,3.9999995421277097,0,0,0,0,0,0,1,1079,8.500292778015137,0.0,0.013887286186218262,0.3179391920566559,0.0913851410150528,0.0913851410150528,0.10018564760684967,0.0913851410150528,0.0913851410150528,0.10018564760684967,1.0,0
